time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,18,,Catalina Schmidt,2,,,
53438.440002,C,,,,,22.06012,,Catalina Schmidt,2,,MJD,True
53438.479996,C,,,,,22.032505,,Catalina Schmidt,2,,MJD,True
53438.520004,C,,,,,22.006697,,Catalina Schmidt,2,,MJD,True
53739.440002,C,,,,,19.752474,,Catalina Schmidt,2,,MJD,True
53739.480011,C,,,,,19.664015,,Catalina Schmidt,2,,MJD,True
53797.440002,C,,,,,21.547733,,Catalina Schmidt,2,,MJD,True
53797.47998,C,,,,,21.595205,,Catalina Schmidt,2,,MJD,True
53797.52002,C,,,,,21.548632,,Catalina Schmidt,2,,MJD,True
53797.559998,C,,,,,21.565998,,Catalina Schmidt,2,,MJD,True
53820.440002,C,,,,,21.453329,,Catalina Schmidt,2,,MJD,True
53820.47998,C,,,,,21.422941,,Catalina Schmidt,2,,MJD,True
53820.52002,C,,,,,21.451187,,Catalina Schmidt,2,,MJD,True
53820.559998,C,,,,,21.561075,,Catalina Schmidt,2,,MJD,True
53833.440002,C,,,,,21.450613,,Catalina Schmidt,2,,MJD,True
53833.47998,C,,,,,21.439838,,Catalina Schmidt,2,,MJD,True
53833.52002,C,,,,,21.495247,,Catalina Schmidt,2,,MJD,True
53833.559998,C,,,,,21.492371,,Catalina Schmidt,2,,MJD,True
53861.440002,C,,,,,21.441977,,Catalina Schmidt,2,,MJD,True
53861.47998,C,,,,,21.409878,,Catalina Schmidt,2,,MJD,True
53861.52002,C,,,,,21.324909,,Catalina Schmidt,2,,MJD,True
53861.559998,C,,,,,21.370468,,Catalina Schmidt,2,,MJD,True
53881.440002,C,,,,,21.467543,,Catalina Schmidt,2,,MJD,True
53881.47998,C,,,,,21.474878,,Catalina Schmidt,2,,MJD,True
53881.52002,C,,,,,21.40027,,Catalina Schmidt,2,,MJD,True
53881.559998,C,,,,,21.442659,,Catalina Schmidt,2,,MJD,True
54514.439941,C,,,,,21.269669,,Catalina Schmidt,2,,MJD,True
54514.47998,C,,,,,21.334978,,Catalina Schmidt,2,,MJD,True
54514.52002,C,,,,,21.434353,,Catalina Schmidt,2,,MJD,True
54514.560059,C,,,,,21.359409,,Catalina Schmidt,2,,MJD,True
54554.439941,C,,,,,21.446087,,Catalina Schmidt,2,,MJD,True
54554.47998,C,,,,,21.344835,,Catalina Schmidt,2,,MJD,True
54554.52002,C,,,,,21.331293,,Catalina Schmidt,2,,MJD,True
54554.560059,C,,,,,21.386292,,Catalina Schmidt,2,,MJD,True
54562.52002,C,,,,,21.468513,,Catalina Schmidt,2,,MJD,True
54562.560059,C,,,,,21.450935,,Catalina Schmidt,2,,MJD,True
54583.439941,C,,,,,21.396843,,Catalina Schmidt,2,,MJD,True
54583.47998,C,,,,,21.389103,,Catalina Schmidt,2,,MJD,True
54583.52002,C,,,,,21.448095,,Catalina Schmidt,2,,MJD,True
54583.560059,C,,,,,21.445547,,Catalina Schmidt,2,,MJD,True
54618.439941,C,,,,,21.459892,,Catalina Schmidt,2,,MJD,True
54618.47998,C,,,,,21.502321,,Catalina Schmidt,2,,MJD,True
54939.52002,C,,,,,21.377825,,Catalina Schmidt,2,,MJD,True
54939.560059,C,,,,,21.379652,,Catalina Schmidt,2,,MJD,True
55270.439941,C,,,,,21.366196,,Catalina Schmidt,2,,MJD,True
55270.47998,C,,,,,21.391615,,Catalina Schmidt,2,,MJD,True
55270.52002,C,,,,,21.41531,,Catalina Schmidt,2,,MJD,True
55270.560059,C,,,,,21.424913,,Catalina Schmidt,2,,MJD,True
55338.439941,C,,,,,21.515917,,Catalina Schmidt,2,,MJD,True
55338.47998,C,,,,,21.458178,,Catalina Schmidt,2,,MJD,True
55338.52002,C,,,,,21.53734,,Catalina Schmidt,2,,MJD,True
55338.560059,C,,,,,21.454155,,Catalina Schmidt,2,,MJD,True
55540.439941,C,,,,,21.436491,,Catalina Schmidt,2,,MJD,True
55540.47998,C,,,,,21.516483,,Catalina Schmidt,2,,MJD,True
55540.52002,C,,,,,21.474476,,Catalina Schmidt,2,,MJD,True
55540.560059,C,,,,,21.40803,,Catalina Schmidt,2,,MJD,True
55574.439941,C,,,0.089001,,20.187145,,Catalina Schmidt,2,,MJD,
55574.47998,C,,,0.070401,,19.776129,,Catalina Schmidt,2,,MJD,
55574.52002,C,,,0.109759,,20.721394,,Catalina Schmidt,2,,MJD,
55574.560059,C,,,0.096135,,20.539507,,Catalina Schmidt,2,,MJD,
55688.439941,C,,,,,21.582043,,Catalina Schmidt,2,,MJD,True
55688.47998,C,,,,,21.594604,,Catalina Schmidt,2,,MJD,True
