time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,22.1,,Catalina Schmidt,1,,,
56313.50753201,C,,,0.454340999633,,20.8136,,Catalina Schmidt,1,,MJD,
56809.26751322,C,,,0.538108195091,,21.1662,,Catalina Schmidt,1,,MJD,
57807.5,C,,,0.295566183262,,22.014,,Catalina Schmidt,1,,MJD,
57819.5,C,,,0.273294185371,,21.8364,,Catalina Schmidt,1,,MJD,
58101.5,C,,,0.351321067738,,22.624,,Catalina Schmidt,1,,MJD,
58472.5,C,,,0.225792512468,,21.6377,,Catalina Schmidt,1,,MJD,
58472.5,C,,,0.328712431562,,22.3575,,Catalina Schmidt,1,,MJD,
58522.5,C,,,0.159465577232,,20.8362,,Catalina Schmidt,1,,MJD,
58522.5,C,,,0.172259283866,,21.0116,,Catalina Schmidt,1,,MJD,
58522.5,C,,,0.172031559701,,21.013,,Catalina Schmidt,1,,MJD,
58522.5,C,,,0.177210470934,,21.071,,Catalina Schmidt,1,,MJD,
58551.5,C,,,0.28692613236,,22.014,,Catalina Schmidt,1,,MJD,
58551.5,C,,,0.376478346264,,22.4808,,Catalina Schmidt,1,,MJD,
58600.5,C,,,0.283200634,,21.991,,Catalina Schmidt,1,,MJD,
58660.5,C,,,0.283374824996,,21.9626,,Catalina Schmidt,1,,MJD,
