time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56881.43317,I,,,,,22,Vega,,"1,3",,MJD,True
56889.39188,I,,,,,22,Vega,,"1,3",,MJD,True
56906.38927,I,,,,,22,Vega,,"1,3",,MJD,True
56922.31170,I,,,,,22,Vega,,"1,3",,MJD,True
56927.30378,I,,,,,22,Vega,,"1,3",,MJD,True
56932.29494,I,,,,,22,Vega,,"1,3",,MJD,True
56938.26340,I,,,,,22,Vega,,"1,3",,MJD,True
56942.27826,I,,,,,22,Vega,,"1,3",,MJD,True
56949.31459,I,,,,,22,Vega,,"1,3",,MJD,True
56955.27069,I,,,,,22,Vega,,"1,3",,MJD,True
56963.24098,I,,,,,22,Vega,,"1,3",,MJD,True
56968.28915,I,,,,,22,Vega,,"1,3",,MJD,True
56975.19591,I,,,,,22,Vega,,"1,3",,MJD,True
56979.22324,I,,,,,22,Vega,,"1,3",,MJD,True
56983.23561,I,,,,,22,Vega,,"1,3",,MJD,True
56989.25541,I,,,,,22,Vega,,"1,3",,MJD,True
56994.29970,I,,,,,22,Vega,,"1,3",,MJD,True
56999.26215,I,,,,,22,Vega,,"1,3",,MJD,True
57003.33904,I,,,,,22,Vega,,"1,3",,MJD,True
57008.29198,I,,,,,22,Vega,,"1,3",,MJD,True
57013.29154,I,,,,,22,Vega,,"1,3",,MJD,True
57017.29695,I,,,,,22,Vega,,"1,3",,MJD,True
57021.28113,I,,,,,22,Vega,,"1,3",,MJD,True
57025.23874,I,,,0.565,,21.648,Vega,,"1,3",,MJD,
57030.26287,I,,,,,22,Vega,,"1,3",,MJD,True
57034.23452,I,,,,,22,Vega,,"1,3",,MJD,True
57039.24364,I,,,,,22,Vega,,"1,3",,MJD,True
57044.21981,I,,,,,22,Vega,,"1,3",,MJD,True
57049.21501,I,,,,,22,Vega,,"1,3",,MJD,True
57055.19608,I,,,0.495,,21.746,Vega,,"1,3",,MJD,
57060.19148,I,,,0.077,,19.956,Vega,,"1,3",,MJD,
57065.17289,I,,,0.058,,19.644,Vega,,"1,3",,MJD,
57072.14934,I,,,0.100,,19.991,Vega,,"1,3",,MJD,
57078.12854,I,,,0.154,,20.317,Vega,,"1,3",,MJD,
57082.06262,I,,,0.117,,20.138,Vega,,"1,3",,MJD,
57085.13518,I,,,0.095,,20.078,Vega,,"1,3",,MJD,
57089.11008,I,,,0.093,,20.174,Vega,,"1,3",,MJD,
57093.08045,I,,,0.145,,20.579,Vega,,"1,3",,MJD,
57102.06117,I,,,,,22,Vega,,"1,3",,MJD,True
57111.06944,I,,,0.394,,21.656,Vega,,"1,3",,MJD,
57114.04624,I,,,,,22,Vega,,"1,3",,MJD,True
57118.04568,I,,,,,22,Vega,,"1,3",,MJD,True
57124.01970,I,,,,,22,Vega,,"1,3",,MJD,True
57130.00574,I,,,,,22,Vega,,"1,3",,MJD,True
57132.99431,I,,,,,22,Vega,,"1,3",,MJD,True
57135.97722,I,,,,,22,Vega,,"1,3",,MJD,True
57139.99131,I,,,,,22,Vega,,"1,3",,MJD,True
57143.98942,I,,,,,22,Vega,,"1,3",,MJD,True
