time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56881.38255,I,,,,,22,Vega,,"1,3",,MJD,True
56886.38543,I,,,,,22,Vega,,"1,3",,MJD,True
56889.37085,I,,,,,22,Vega,,"1,3",,MJD,True
56896.32847,I,,,,,22,Vega,,"1,3",,MJD,True
56907.33217,I,,,,,22,Vega,,"1,3",,MJD,True
56912.32924,I,,,0.468,,21.627,Vega,,"1,3",,MJD,
56922.26453,I,,,,,22,Vega,,"1,3",,MJD,True
56927.26414,I,,,,,22,Vega,,"1,3",,MJD,True
56932.20302,I,,,,,22,Vega,,"1,3",,MJD,True
56939.15850,I,,,,,22,Vega,,"1,3",,MJD,True
56943.17244,I,,,,,22,Vega,,"1,3",,MJD,True
56949.27898,I,,,,,22,Vega,,"1,3",,MJD,True
56952.21591,I,,,,,22,Vega,,"1,3",,MJD,True
56955.23172,I,,,,,22,Vega,,"1,3",,MJD,True
56959.09500,I,,,,,22,Vega,,"1,3",,MJD,True
56965.15924,I,,,,,22,Vega,,"1,3",,MJD,True
56969.16097,I,,,,,22,Vega,,"1,3",,MJD,True
56975.11034,I,,,,,22,Vega,,"1,3",,MJD,True
56979.11386,I,,,,,22,Vega,,"1,3",,MJD,True
56984.19024,I,,,,,22,Vega,,"1,3",,MJD,True
56993.15536,I,,,,,22,Vega,,"1,3",,MJD,True
56997.14328,I,,,,,22,Vega,,"1,3",,MJD,True
57000.15820,I,,,,,22,Vega,,"1,3",,MJD,True
57005.11986,I,,,,,22,Vega,,"1,3",,MJD,True
57009.14558,I,,,,,22,Vega,,"1,3",,MJD,True
57013.12648,I,,,,,22,Vega,,"1,3",,MJD,True
57017.08681,I,,,,,22,Vega,,"1,3",,MJD,True
57023.17688,I,,,,,22,Vega,,"1,3",,MJD,True
57026.04444,I,,,,,22,Vega,,"1,3",,MJD,True
57030.16231,I,,,,,22,Vega,,"1,3",,MJD,True
57034.09546,I,,,,,22,Vega,,"1,3",,MJD,True
57038.12287,I,,,,,22,Vega,,"1,3",,MJD,True
57041.11818,I,,,,,22,Vega,,"1,3",,MJD,True
57046.11783,I,,,,,22,Vega,,"1,3",,MJD,True
57051.10575,I,,,,,22,Vega,,"1,3",,MJD,True
57052.09022,I,,,,,22,Vega,,"1,3",,MJD,True
57056.11998,I,,,,,22,Vega,,"1,3",,MJD,True
57058.06757,I,,,,,22,Vega,,"1,3",,MJD,True
57065.06521,I,,,0.451,,21.989,Vega,,"1,3",,MJD,
57070.04963,I,,,,,22,Vega,,"1,3",,MJD,True
57077.04343,I,,,,,22,Vega,,"1,3",,MJD,True
57089.01709,I,,,,,22,Vega,,"1,3",,MJD,True
57193.44406,I,,,,,22,Vega,,"1,3",,MJD,True
57198.42470,I,,,,,22,Vega,,"1,3",,MJD,True
57199.43312,I,,,,,22,Vega,,"1,3",,MJD,True
57200.41254,I,,,,,22,Vega,,"1,3",,MJD,True
57202.40680,I,,,,,22,Vega,,"1,3",,MJD,True
57203.41357,I,,,0.448,,21.409,Vega,,"1,3",,MJD,
57204.41750,I,,,,,22,Vega,,"1,3",,MJD,True
57205.43515,I,,,,,22,Vega,,"1,3",,MJD,True
57206.42106,I,,,,,22,Vega,,"1,3",,MJD,True
57221.43299,I,,,0.356,,21.356,Vega,,"1,3",,MJD,
57230.43531,I,,,0.072,,19.670,Vega,,"1,3",,MJD,
57249.39060,I,,,0.072,,19.833,Vega,,"1,3",,MJD,
57255.33515,I,,,0.083,,20.134,Vega,,"1,3",,MJD,
57260.31965,I,,,0.121,,20.254,Vega,,"1,3",,MJD,
57263.40547,I,,,0.071,,19.789,Vega,,"1,3",,MJD,
57266.40971,I,,,0.075,,19.786,Vega,,"1,3",,MJD,
57269.40086,I,,,0.078,,20.000,Vega,,"1,3",,MJD,
57274.36902,I,,,0.098,,20.242,Vega,,"1,3",,MJD,
57283.27935,I,,,0.109,,20.387,Vega,,"1,3",,MJD,
57292.28742,I,,,0.219,,20.573,Vega,,"1,3",,MJD,
57297.25400,I,,,0.271,,21.106,Vega,,"1,3",,MJD,
57302.29230,I,,,0.402,,21.498,Vega,,"1,3",,MJD,
57308.24101,I,,,0.311,,21.242,Vega,,"1,3",,MJD,
57313.22851,I,,,,,22,Vega,,"1,3",,MJD,True
57317.20284,I,,,,,22,Vega,,"1,3",,MJD,True
57322.21739,I,,,,,22,Vega,,"1,3",,MJD,True
57327.23448,I,,,,,22,Vega,,"1,3",,MJD,True
57341.19372,I,,,,,22,Vega,,"1,3",,MJD,True
57346.17220,I,,,,,22,Vega,,"1,3",,MJD,True
57353.29680,I,,,,,22,Vega,,"1,3",,MJD,True
57356.31517,I,,,0.287,,21.257,Vega,,"1,3",,MJD,
57360.15121,I,,,,,22,Vega,,"1,3",,MJD,True
57363.22373,I,,,,,22,Vega,,"1,3",,MJD,True
57366.16634,I,,,,,22,Vega,,"1,3",,MJD,True
57372.16105,I,,,,,22,Vega,,"1,3",,MJD,True
57375.17920,I,,,0.350,,21.375,Vega,,"1,3",,MJD,
57380.10013,I,,,,,22,Vega,,"1,3",,MJD,True
57384.14453,I,,,,,22,Vega,,"1,3",,MJD,True
57388.11827,I,,,,,22,Vega,,"1,3",,MJD,True
57394.09588,I,,,,,22,Vega,,"1,3",,MJD,True
57399.12294,I,,,0.550,,21.891,Vega,,"1,3",,MJD,
57404.12288,I,,,,,22,Vega,,"1,3",,MJD,True
57408.11270,I,,,,,22,Vega,,"1,3",,MJD,True
57416.09905,I,,,,,22,Vega,,"1,3",,MJD,True
57428.07434,I,,,,,22,Vega,,"1,3",,MJD,True
