time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56863.42032,I,,,,,22,Vega,,"1,3",,MJD,True
56880.37303,I,,,,,22,Vega,,"1,3",,MJD,True
56886.34422,I,,,,,22,Vega,,"1,3",,MJD,True
56890.34070,I,,,,,22,Vega,,"1,3",,MJD,True
56907.29308,I,,,,,22,Vega,,"1,3",,MJD,True
56912.31627,I,,,,,22,Vega,,"1,3",,MJD,True
56921.25205,I,,,,,22,Vega,,"1,3",,MJD,True
56924.25772,I,,,,,22,Vega,,"1,3",,MJD,True
56929.31472,I,,,,,22,Vega,,"1,3",,MJD,True
56937.24252,I,,,,,22,Vega,,"1,3",,MJD,True
56941.25377,I,,,,,22,Vega,,"1,3",,MJD,True
56948.28008,I,,,,,22,Vega,,"1,3",,MJD,True
56951.32339,I,,,,,22,Vega,,"1,3",,MJD,True
56954.29299,I,,,,,22,Vega,,"1,3",,MJD,True
56957.24218,I,,,,,22,Vega,,"1,3",,MJD,True
56961.27912,I,,,,,22,Vega,,"1,3",,MJD,True
56966.13888,I,,,,,22,Vega,,"1,3",,MJD,True
56970.14191,I,,,,,22,Vega,,"1,3",,MJD,True
56974.20619,I,,,,,22,Vega,,"1,3",,MJD,True
56978.19437,I,,,,,22,Vega,,"1,3",,MJD,True
56988.14135,I,,,,,22,Vega,,"1,3",,MJD,True
56994.17622,I,,,,,22,Vega,,"1,3",,MJD,True
56997.19684,I,,,,,22,Vega,,"1,3",,MJD,True
57003.18858,I,,,,,22,Vega,,"1,3",,MJD,True
57006.12739,I,,,0.587,,21.898,Vega,,"1,3",,MJD,
57010.15490,I,,,,,22,Vega,,"1,3",,MJD,True
57014.05886,I,,,,,22,Vega,,"1,3",,MJD,True
57018.06339,I,,,,,22,Vega,,"1,3",,MJD,True
57022.07258,I,,,0.493,,21.715,Vega,,"1,3",,MJD,
57027.10391,I,,,,,22,Vega,,"1,3",,MJD,True
57033.10552,I,,,,,22,Vega,,"1,3",,MJD,True
57038.08523,I,,,,,22,Vega,,"1,3",,MJD,True
57043.07325,I,,,,,22,Vega,,"1,3",,MJD,True
57049.07147,I,,,,,22,Vega,,"1,3",,MJD,True
57055.04419,I,,,,,22,Vega,,"1,3",,MJD,True
57060.09832,I,,,,,22,Vega,,"1,3",,MJD,True
57066.09532,I,,,,,22,Vega,,"1,3",,MJD,True
57083.02546,I,,,,,22,Vega,,"1,3",,MJD,True
57100.00717,I,,,,,22,Vega,,"1,3",,MJD,True
57228.42231,I,,,0.079,,19.868,Vega,,"1,3",,MJD,
57252.33467,I,,,0.100,,20.041,Vega,,"1,3",,MJD,
57258.35263,I,,,0.057,,19.904,Vega,,"1,3",,MJD,
57263.39236,I,,,0.105,,20.123,Vega,,"1,3",,MJD,
57267.37129,I,,,0.091,,20.005,Vega,,"1,3",,MJD,
57273.33788,I,,,0.068,,20.013,Vega,,"1,3",,MJD,
57291.24983,I,,,0.161,,20.274,Vega,,"1,3",,MJD,
57312.21760,I,,,0.209,,20.978,Vega,,"1,3",,MJD,
57362.23550,I,,,0.237,,21.523,Vega,,"1,3",,MJD,
57438.04801,I,,,,,22,Vega,,"1,3",,MJD,True
