time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57791.11313,I,,,,,22,Vega,,3,,MJD,True
57796.08764,I,,,,,22,Vega,,3,,MJD,True
57801.08238,I,,,,,22,Vega,,3,,MJD,True
57807.07110,I,,,,,22,Vega,,3,,MJD,True
57811.06161,I,,,,,22,Vega,,3,,MJD,True
57816.01167,I,,,,,22,Vega,,3,,MJD,True
57820.01413,I,,,,,22,Vega,,3,,MJD,True
57826.00178,I,,,,,22,Vega,,3,,MJD,True
57833.99469,I,,,,,22,Vega,,3,,MJD,True
57840.98738,I,,,,,22,Vega,,3,,MJD,True
58008.41036,I,,,0.454,,21.208,Vega,,3,,MJD,
58018.34026,I,,,,,22,Vega,,3,,MJD,True
58026.37886,I,,,,,22,Vega,,3,,MJD,True
58033.35306,I,,,,,22,Vega,,3,,MJD,True
58055.27829,I,,,,,22,Vega,,3,,MJD,True
58066.23623,I,,,0.248,,21.240,Vega,,3,,MJD,
58069.26452,I,,,0.120,,20.743,Vega,,3,,MJD,
58074.22928,I,,,0.152,,20.742,Vega,,3,,MJD,
58079.20988,I,,,0.119,,20.560,Vega,,3,,MJD,
58084.17890,I,,,0.099,,20.267,Vega,,3,,MJD,
58088.18477,I,,,0.124,,20.273,Vega,,3,,MJD,
58093.20864,I,,,0.116,,20.340,Vega,,3,,MJD,
58099.15549,I,,,0.114,,20.326,Vega,,3,,MJD,
58107.29522,I,,,0.093,,20.344,Vega,,3,,MJD,
58113.31789,I,,,0.094,,20.299,Vega,,3,,MJD,
58119.24570,I,,,0.260,,20.896,Vega,,3,,MJD,
58126.15420,I,,,0.137,,20.489,Vega,,3,,MJD,
58137.16194,I,,,0.114,,20.686,Vega,,3,,MJD,
58145.15702,I,,,0.102,,20.479,Vega,,3,,MJD,
58151.11122,I,,,0.167,,20.760,Vega,,3,,MJD,
58172.01730,I,,,0.262,,20.855,Vega,,3,,MJD,
58175.05140,I,,,0.183,,20.915,Vega,,3,,MJD,
58183.03637,I,,,0.122,,20.628,Vega,,3,,MJD,
58193.00324,I,,,0.256,,21.117,Vega,,3,,MJD,
58206.99083,I,,,0.271,,20.927,Vega,,3,,MJD,
58210.99984,I,,,0.206,,20.649,Vega,,3,,MJD,
58216.00306,I,,,0.341,,21.372,Vega,,3,,MJD,
58222.97806,I,,,0.163,,20.692,Vega,,3,,MJD,
58227.97741,I,,,0.207,,21.076,Vega,,3,,MJD,
58232.97382,I,,,0.190,,20.786,Vega,,3,,MJD,
58345.41995,I,,,,,22,Vega,,3,,MJD,True
58357.39524,I,,,0.279,,21.459,Vega,,3,,MJD,
58363.37094,I,,,,,22,Vega,,3,,MJD,True
58370.30771,I,,,,,22,Vega,,3,,MJD,True
58377.33128,I,,,,,22,Vega,,3,,MJD,True
58384.35587,I,,,,,22,Vega,,3,,MJD,True
58392.33831,I,,,,,22,Vega,,3,,MJD,True
58397.31529,I,,,,,22,Vega,,3,,MJD,True
58406.29340,I,,,,,22,Vega,,3,,MJD,True
58410.20628,I,,,0.315,,21.526,Vega,,3,,MJD,
58414.23400,I,,,,,22,Vega,,3,,MJD,True
58419.18078,I,,,,,22,Vega,,3,,MJD,True
58424.23732,I,,,,,22,Vega,,3,,MJD,True
58428.20862,I,,,,,22,Vega,,3,,MJD,True
58432.19203,I,,,,,22,Vega,,3,,MJD,True
58436.15265,I,,,,,22,Vega,,3,,MJD,True
58439.16053,I,,,,,22,Vega,,3,,MJD,True
58443.17051,I,,,,,22,Vega,,3,,MJD,True
58446.19289,I,,,,,22,Vega,,3,,MJD,True
58449.19289,I,,,,,22,Vega,,3,,MJD,True
58453.18174,I,,,,,22,Vega,,3,,MJD,True
58458.18245,I,,,,,22,Vega,,3,,MJD,True
58462.17428,I,,,,,22,Vega,,3,,MJD,True
58466.31077,I,,,,,22,Vega,,3,,MJD,True
58473.22671,I,,,,,22,Vega,,3,,MJD,True
58477.25167,I,,,,,22,Vega,,3,,MJD,True
58481.20586,I,,,,,22,Vega,,3,,MJD,True
58486.21621,I,,,,,22,Vega,,3,,MJD,True
58493.24378,I,,,,,22,Vega,,3,,MJD,True
58500.20875,I,,,,,22,Vega,,3,,MJD,True
58504.21656,I,,,,,22,Vega,,3,,MJD,True
58507.19515,I,,,,,22,Vega,,3,,MJD,True
58511.19448,I,,,,,22,Vega,,3,,MJD,True
58520.05712,I,,,,,22,Vega,,3,,MJD,True
58526.17923,I,,,0.464,,21.994,Vega,,3,,MJD,
58532.10736,I,,,,,22,Vega,,3,,MJD,True
58538.05286,I,,,,,22,Vega,,3,,MJD,True
58546.01212,I,,,,,22,Vega,,3,,MJD,True
58555.02540,I,,,,,22,Vega,,3,,MJD,True
58560.04782,I,,,,,22,Vega,,3,,MJD,True
58564.01165,I,,,,,22,Vega,,3,,MJD,True
58567.99737,I,,,,,22,Vega,,3,,MJD,True
58580.98345,I,,,0.413,,21.750,Vega,,3,,MJD,
58588.97798,I,,,,,22,Vega,,3,,MJD,True
58698.42192,I,,,,,22,Vega,,3,,MJD,True
58709.42502,I,,,,,22,Vega,,3,,MJD,True
58712.43433,I,,,,,22,Vega,,3,,MJD,True
58720.38989,I,,,,,22,Vega,,3,,MJD,True
58724.32608,I,,,,,22,Vega,,3,,MJD,True
58728.33530,I,,,,,22,Vega,,3,,MJD,True
58734.34756,I,,,,,22,Vega,,3,,MJD,True
58739.31936,I,,,,,22,Vega,,3,,MJD,True
58746.33665,I,,,,,22,Vega,,3,,MJD,True
58752.32011,I,,,,,22,Vega,,3,,MJD,True
58756.35719,I,,,,,22,Vega,,3,,MJD,True
58761.34356,I,,,,,22,Vega,,3,,MJD,True
58764.30526,I,,,,,22,Vega,,3,,MJD,True
58773.28654,I,,,,,22,Vega,,3,,MJD,True
58777.27281,I,,,,,22,Vega,,3,,MJD,True
58783.24543,I,,,,,22,Vega,,3,,MJD,True
58791.32624,I,,,,,22,Vega,,3,,MJD,True
58796.14773,I,,,,,22,Vega,,3,,MJD,True
58799.14947,I,,,,,22,Vega,,3,,MJD,True
58802.14939,I,,,,,22,Vega,,3,,MJD,True
58805.16715,I,,,,,22,Vega,,3,,MJD,True
58812.18018,I,,,,,22,Vega,,3,,MJD,True
58823.17239,I,,,,,22,Vega,,3,,MJD,True
58826.19799,I,,,,,22,Vega,,3,,MJD,True
