time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57935.42476,I,,,,,22,Vega,,3,,MJD,True
57945.39358,I,,,,,22,Vega,,3,,MJD,True
57953.40293,I,,,,,22,Vega,,3,,MJD,True
57957.33297,I,,,,,22,Vega,,3,,MJD,True
57960.38269,I,,,,,22,Vega,,3,,MJD,True
57966.38894,I,,,,,22,Vega,,3,,MJD,True
57972.35557,I,,,,,22,Vega,,3,,MJD,True
57982.30536,I,,,,,22,Vega,,3,,MJD,True
57985.29438,I,,,,,22,Vega,,3,,MJD,True
57990.29052,I,,,,,22,Vega,,3,,MJD,True
57993.28271,I,,,,,22,Vega,,3,,MJD,True
57999.40541,I,,,,,22,Vega,,3,,MJD,True
58003.22598,I,,,,,22,Vega,,3,,MJD,True
58007.30890,I,,,,,22,Vega,,3,,MJD,True
58012.19664,I,,,,,22,Vega,,3,,MJD,True
58019.25295,I,,,,,22,Vega,,3,,MJD,True
58026.33037,I,,,,,22,Vega,,3,,MJD,True
58032.15222,I,,,,,22,Vega,,3,,MJD,True
58035.12727,I,,,,,22,Vega,,3,,MJD,True
58038.22903,I,,,,,22,Vega,,3,,MJD,True
58041.21106,I,,,,,22,Vega,,3,,MJD,True
58047.07709,I,,,,,22,Vega,,3,,MJD,True
58054.14419,I,,,,,22,Vega,,3,,MJD,True
58057.17614,I,,,,,22,Vega,,3,,MJD,True
58068.09755,I,,,0.431,,21.418,Vega,,3,,MJD,
58073.05133,I,,,0.072,,20.020,Vega,,3,,MJD,
58078.08035,I,,,0.033,,19.313,Vega,,3,,MJD,
58083.06403,I,,,0.035,,19.259,Vega,,3,,MJD,
58088.06292,I,,,0.050,,19.232,Vega,,3,,MJD,
58093.12904,I,,,0.063,,19.422,Vega,,3,,MJD,
58098.07179,I,,,0.056,,19.657,Vega,,3,,MJD,
58109.11004,I,,,0.049,,19.746,Vega,,3,,MJD,
58114.10851,I,,,0.043,,19.454,Vega,,3,,MJD,
58119.10843,I,,,0.072,,19.567,Vega,,3,,MJD,
58128.05121,I,,,0.081,,19.904,Vega,,3,,MJD,
58133.11157,I,,,0.109,,20.255,Vega,,3,,MJD,
58142.05992,I,,,0.245,,20.931,Vega,,3,,MJD,
58147.05036,I,,,0.245,,20.946,Vega,,3,,MJD,
58289.42920,I,,,,,22,Vega,,3,,MJD,True
58301.44162,I,,,,,22,Vega,,3,,MJD,True
58308.41025,I,,,,,22,Vega,,3,,MJD,True
58313.35385,I,,,,,22,Vega,,3,,MJD,True
58317.40820,I,,,0.594,,21.923,Vega,,3,,MJD,
58321.31488,I,,,,,22,Vega,,3,,MJD,True
58331.32492,I,,,,,22,Vega,,3,,MJD,True
58334.32599,I,,,,,22,Vega,,3,,MJD,True
58338.30721,I,,,,,22,Vega,,3,,MJD,True
58341.35686,I,,,,,22,Vega,,3,,MJD,True
58345.33343,I,,,,,22,Vega,,3,,MJD,True
58355.25568,I,,,,,22,Vega,,3,,MJD,True
