time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58119.24787,I,,,,,22,Vega,,3,,MJD,True
58126.15636,I,,,,,22,Vega,,3,,MJD,True
58137.16406,I,,,,,22,Vega,,3,,MJD,True
58145.15914,I,,,,,22,Vega,,3,,MJD,True
58151.11331,I,,,,,22,Vega,,3,,MJD,True
58172.01936,I,,,,,22,Vega,,3,,MJD,True
58175.05344,I,,,,,22,Vega,,3,,MJD,True
58183.03840,I,,,,,22,Vega,,3,,MJD,True
58193.00525,I,,,,,22,Vega,,3,,MJD,True
58206.98863,I,,,,,22,Vega,,3,,MJD,True
58211.00182,I,,,,,22,Vega,,3,,MJD,True
58216.00505,I,,,,,22,Vega,,3,,MJD,True
58222.98004,I,,,,,22,Vega,,3,,MJD,True
58227.97939,I,,,,,22,Vega,,3,,MJD,True
58232.97580,I,,,,,22,Vega,,3,,MJD,True
58345.42208,I,,,0.037,,19.453,Vega,,3,,MJD,
58357.39739,I,,,0.044,,19.412,Vega,,3,,MJD,
58363.37309,I,,,0.043,,19.513,Vega,,3,,MJD,
58370.30987,I,,,0.036,,19.554,Vega,,3,,MJD,
58377.33345,I,,,0.055,,19.702,Vega,,3,,MJD,
58384.35806,I,,,0.061,,19.831,Vega,,3,,MJD,
58392.34051,I,,,0.073,,20.177,Vega,,3,,MJD,
58397.31750,I,,,0.100,,20.536,Vega,,3,,MJD,
58406.29563,I,,,0.191,,21.141,Vega,,3,,MJD,
58410.20849,I,,,0.247,,21.408,Vega,,3,,MJD,
58414.23622,I,,,0.289,,21.260,Vega,,3,,MJD,
58419.18300,I,,,0.267,,21.427,Vega,,3,,MJD,
58424.23955,I,,,0.206,,21.468,Vega,,3,,MJD,
58428.21171,I,,,0.215,,21.591,Vega,,3,,MJD,
58432.19423,I,,,0.237,,21.491,Vega,,3,,MJD,
58436.15488,I,,,0.295,,21.417,Vega,,3,,MJD,
58439.16276,I,,,0.330,,21.422,Vega,,3,,MJD,
58443.17272,I,,,0.269,,21.401,Vega,,3,,MJD,
58446.19510,I,,,0.232,,21.294,Vega,,3,,MJD,
58449.19509,I,,,0.295,,21.866,Vega,,3,,MJD,
58453.18394,I,,,0.256,,21.490,Vega,,3,,MJD,
58458.18464,I,,,0.430,,21.878,Vega,,3,,MJD,
58462.17646,I,,,0.221,,21.684,Vega,,3,,MJD,
58466.31294,I,,,0.180,,21.340,Vega,,3,,MJD,
58473.22890,I,,,0.360,,21.670,Vega,,3,,MJD,
58477.25383,I,,,,,22,Vega,,3,,MJD,True
58481.20802,I,,,0.316,,21.504,Vega,,3,,MJD,
58486.21837,I,,,,,22,Vega,,3,,MJD,True
58493.24592,I,,,0.215,,21.168,Vega,,3,,MJD,
58500.21089,I,,,0.383,,21.898,Vega,,3,,MJD,
58504.21869,I,,,,,22,Vega,,3,,MJD,True
58507.19725,I,,,,,22,Vega,,3,,MJD,True
58511.19658,I,,,,,22,Vega,,3,,MJD,True
58520.05921,I,,,,,22,Vega,,3,,MJD,True
58526.18130,I,,,,,22,Vega,,3,,MJD,True
58532.10944,I,,,0.321,,21.429,Vega,,3,,MJD,
58538.05488,I,,,0.259,,21.659,Vega,,3,,MJD,
58546.01415,I,,,,,22,Vega,,3,,MJD,True
58555.02742,I,,,,,22,Vega,,3,,MJD,True
58560.04983,I,,,,,22,Vega,,3,,MJD,True
58564.01363,I,,,,,22,Vega,,3,,MJD,True
58567.99935,I,,,,,22,Vega,,3,,MJD,True
58580.98543,I,,,0.247,,21.236,Vega,,3,,MJD,
58588.97996,I,,,,,22,Vega,,3,,MJD,True
58698.42433,I,,,,,22,Vega,,3,,MJD,True
58709.42714,I,,,,,22,Vega,,3,,MJD,True
58713.39806,I,,,,,22,Vega,,3,,MJD,True
58720.39202,I,,,,,22,Vega,,3,,MJD,True
58724.32820,I,,,,,22,Vega,,3,,MJD,True
58728.33745,I,,,,,22,Vega,,3,,MJD,True
58734.35015,I,,,,,22,Vega,,3,,MJD,True
58739.32154,I,,,,,22,Vega,,3,,MJD,True
58746.33883,I,,,,,22,Vega,,3,,MJD,True
58752.32230,I,,,,,22,Vega,,3,,MJD,True
58756.35937,I,,,,,22,Vega,,3,,MJD,True
58761.34578,I,,,,,22,Vega,,3,,MJD,True
58764.30744,I,,,,,22,Vega,,3,,MJD,True
58773.28874,I,,,,,22,Vega,,3,,MJD,True
58777.27502,I,,,,,22,Vega,,3,,MJD,True
58783.24764,I,,,,,22,Vega,,3,,MJD,True
58791.32846,I,,,,,22,Vega,,3,,MJD,True
58796.14994,I,,,,,22,Vega,,3,,MJD,True
58799.15167,I,,,,,22,Vega,,3,,MJD,True
58802.15157,I,,,,,22,Vega,,3,,MJD,True
58805.16936,I,,,,,22,Vega,,3,,MJD,True
58812.18239,I,,,,,22,Vega,,3,,MJD,True
58823.17457,I,,,,,22,Vega,,3,,MJD,True
58826.20019,I,,,,,22,Vega,,3,,MJD,True
