time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58122.07234,I,,,,,22,Vega,,2,,MJD,True
58126.07381,I,,,0.834,,21.976,Vega,,2,,MJD,
58129.12961,I,,,,,22,Vega,,2,,MJD,True
58132.10059,I,,,,,22,Vega,,2,,MJD,True
58136.04901,I,,,0.443,,21.445,Vega,,2,,MJD,
58138.05971,I,,,,,22,Vega,,2,,MJD,True
58139.08582,I,,,0.348,,21.430,Vega,,2,,MJD,
58140.07050,I,,,0.639,,21.999,Vega,,2,,MJD,
58142.02841,I,,,,,22,Vega,,2,,MJD,True
58142.03519,I,,,0.495,,21.377,Vega,,2,,MJD,
58284.44089,I,,,,,22,Vega,,2,,MJD,True
58291.42683,I,,,,,22,Vega,,2,,MJD,True
58306.38427,I,,,,,22,Vega,,2,,MJD,True
58311.38029,I,,,,,22,Vega,,2,,MJD,True
58312.39346,I,,,,,22,Vega,,2,,MJD,True
58318.40622,I,,,,,22,Vega,,2,,MJD,True
58332.32757,I,,,,,22,Vega,,2,,MJD,True
58335.34729,I,,,,,22,Vega,,2,,MJD,True
58336.37688,I,,,,,22,Vega,,2,,MJD,True
58340.31663,I,,,,,22,Vega,,2,,MJD,True
58344.27203,I,,,,,22,Vega,,2,,MJD,True
58347.25908,I,,,,,22,Vega,,2,,MJD,True
58355.29650,I,,,,,22,Vega,,2,,MJD,True
58358.29106,I,,,,,22,Vega,,2,,MJD,True
58362.30007,I,,,,,22,Vega,,2,,MJD,True
58366.35058,I,,,,,22,Vega,,2,,MJD,True
58371.25512,I,,,,,22,Vega,,2,,MJD,True
58376.22904,I,,,,,22,Vega,,2,,MJD,True
58383.18208,I,,,,,22,Vega,,2,,MJD,True
58385.21914,I,,,,,22,Vega,,2,,MJD,True
58393.20664,I,,,,,22,Vega,,2,,MJD,True
58406.14482,I,,,,,22,Vega,,2,,MJD,True
58410.14028,I,,,,,22,Vega,,2,,MJD,True
58415.09519,I,,,0.422,,21.078,Vega,,2,,MJD,
58423.09152,I,,,,,22,Vega,,2,,MJD,True
58432.07488,I,,,,,22,Vega,,2,,MJD,True
58436.02885,I,,,,,22,Vega,,2,,MJD,True
58440.08191,I,,,,,22,Vega,,2,,MJD,True
58444.13418,I,,,0.308,,21.131,Vega,,2,,MJD,
58448.05464,I,,,0.091,,20.352,Vega,,2,,MJD,
58451.06113,I,,,0.096,,20.007,Vega,,2,,MJD,
58454.06612,I,,,0.069,,19.754,Vega,,2,,MJD,
58457.10836,I,,,0.122,,20.105,Vega,,2,,MJD,
58461.05924,I,,,0.107,,20.014,Vega,,2,,MJD,
58465.06581,I,,,0.070,,19.983,Vega,,2,,MJD,
58468.06394,I,,,0.110,,20.173,Vega,,2,,MJD,
58474.06910,I,,,0.196,,20.516,Vega,,2,,MJD,
58479.06876,I,,,0.114,,20.509,Vega,,2,,MJD,
58487.04857,I,,,0.117,,20.230,Vega,,2,,MJD,
58491.04782,I,,,0.132,,20.362,Vega,,2,,MJD,
58496.07067,I,,,0.169,,20.707,Vega,,2,,MJD,
58500.04570,I,,,0.409,,21.413,Vega,,2,,MJD,
58504.07116,I,,,0.231,,20.887,Vega,,2,,MJD,
58510.07653,I,,,0.246,,21.141,Vega,,2,,MJD,
58516.06275,I,,,,,22,Vega,,2,,MJD,True
58643.42589,I,,,0.285,,21.232,Vega,,2,,MJD,
58650.43033,I,,,,,22,Vega,,2,,MJD,True
58655.43249,I,,,0.525,,21.683,Vega,,2,,MJD,
58663.41107,I,,,0.617,,21.606,Vega,,2,,MJD,
58667.38386,I,,,,,22,Vega,,2,,MJD,True
58691.39084,I,,,,,22,Vega,,2,,MJD,True
58701.31111,I,,,,,22,Vega,,2,,MJD,True
58705.29734,I,,,,,22,Vega,,2,,MJD,True
58711.30470,I,,,,,22,Vega,,2,,MJD,True
58715.28166,I,,,,,22,Vega,,2,,MJD,True
58719.29025,I,,,,,22,Vega,,2,,MJD,True
58723.25351,I,,,,,22,Vega,,2,,MJD,True
58727.23681,I,,,,,22,Vega,,2,,MJD,True
58734.21258,I,,,0.417,,21.309,Vega,,2,,MJD,
58738.22215,I,,,0.240,,20.598,Vega,,2,,MJD,
58741.20254,I,,,0.453,,21.518,Vega,,2,,MJD,
58746.24106,I,,,,,22,Vega,,2,,MJD,True
58750.19781,I,,,,,22,Vega,,2,,MJD,True
58755.20242,I,,,,,22,Vega,,2,,MJD,True
58759.15313,I,,,,,22,Vega,,2,,MJD,True
58762.13878,I,,,,,22,Vega,,2,,MJD,True
58764.14126,I,,,,,22,Vega,,2,,MJD,True
58768.13489,I,,,,,22,Vega,,2,,MJD,True
58772.19664,I,,,,,22,Vega,,2,,MJD,True
58774.15228,I,,,0.556,,21.798,Vega,,2,,MJD,
58775.11032,I,,,,,22,Vega,,2,,MJD,True
58777.12270,I,,,,,22,Vega,,2,,MJD,True
58780.08355,I,,,,,22,Vega,,2,,MJD,True
58783.12979,I,,,,,22,Vega,,2,,MJD,True
58786.08330,I,,,0.584,,21.852,Vega,,2,,MJD,
58794.06085,I,,,,,22,Vega,,2,,MJD,True
58797.07562,I,,,0.487,,21.879,Vega,,2,,MJD,
58803.10410,I,,,0.573,,21.466,Vega,,2,,MJD,
58806.09695,I,,,,,22,Vega,,2,,MJD,True
58810.07539,I,,,,,22,Vega,,2,,MJD,True
58816.05641,I,,,,,22,Vega,,2,,MJD,True
58821.05586,I,,,0.732,,21.988,Vega,,2,,MJD,
58824.06080,I,,,,,22,Vega,,2,,MJD,True
58827.06340,I,,,0.352,,21.109,Vega,,2,,MJD,
