time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57956.37933,I,,,,,22,Vega,,3,,MJD,True
57971.41059,I,,,,,22,Vega,,3,,MJD,True
57980.37892,I,,,,,22,Vega,,3,,MJD,True
57986.37108,I,,,,,22,Vega,,3,,MJD,True
57991.38256,I,,,,,22,Vega,,3,,MJD,True
57993.39348,I,,,,,22,Vega,,3,,MJD,True
58000.38736,I,,,,,22,Vega,,3,,MJD,True
58007.37163,I,,,,,22,Vega,,3,,MJD,True
58017.38275,I,,,,,22,Vega,,3,,MJD,True
58027.31444,I,,,,,22,Vega,,3,,MJD,True
58032.29607,I,,,,,22,Vega,,3,,MJD,True
58035.21432,I,,,,,22,Vega,,3,,MJD,True
58040.22238,I,,,0.438,,21.950,Vega,,3,,MJD,
58047.26059,I,,,,,22,Vega,,3,,MJD,True
58053.30510,I,,,,,22,Vega,,3,,MJD,True
58064.29627,I,,,,,22,Vega,,3,,MJD,True
58068.19601,I,,,,,22,Vega,,3,,MJD,True
58072.14626,I,,,,,22,Vega,,3,,MJD,True
58076.10599,I,,,,,22,Vega,,3,,MJD,True
58082.16113,I,,,,,22,Vega,,3,,MJD,True
58087.14942,I,,,,,22,Vega,,3,,MJD,True
58093.16667,I,,,,,22,Vega,,3,,MJD,True
58099.11867,I,,,,,22,Vega,,3,,MJD,True
58108.21142,I,,,,,22,Vega,,3,,MJD,True
58113.19424,I,,,,,22,Vega,,3,,MJD,True
58118.18954,I,,,,,22,Vega,,3,,MJD,True
58123.15349,I,,,,,22,Vega,,3,,MJD,True
58128.13493,I,,,,,22,Vega,,3,,MJD,True
58134.12313,I,,,,,22,Vega,,3,,MJD,True
58140.14236,I,,,0.126,,20.302,Vega,,3,,MJD,
58144.11603,I,,,0.042,,19.128,Vega,,3,,MJD,
58148.11435,I,,,0.031,,18.701,Vega,,3,,MJD,
58153.06437,I,,,0.020,,18.743,Vega,,3,,MJD,
58183.01869,I,,,0.050,,19.478,Vega,,3,,MJD,
58189.01073,I,,,0.098,,20.021,Vega,,3,,MJD,
58314.43622,I,,,,,22,Vega,,3,,MJD,True
58331.40008,I,,,,,22,Vega,,3,,MJD,True
58339.41992,I,,,,,22,Vega,,3,,MJD,True
58342.43198,I,,,,,22,Vega,,3,,MJD,True
