time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58164.05058,I,,,,,22,Vega,,1,,MJD,True
58306.44729,I,,,,,22,Vega,,1,,MJD,True
58311.43108,I,,,,,22,Vega,,1,,MJD,True
58321.37881,I,,,,,22,Vega,,1,,MJD,True
58331.38881,I,,,,,22,Vega,,1,,MJD,True
58334.41562,I,,,,,22,Vega,,1,,MJD,True
58338.40256,I,,,,,22,Vega,,1,,MJD,True
58342.39300,I,,,,,22,Vega,,1,,MJD,True
58347.35793,I,,,,,22,Vega,,1,,MJD,True
58355.40688,I,,,,,22,Vega,,1,,MJD,True
58359.35243,I,,,,,22,Vega,,1,,MJD,True
58367.25866,I,,,,,22,Vega,,1,,MJD,True
58372.25646,I,,,,,22,Vega,,1,,MJD,True
58376.34228,I,,,,,22,Vega,,1,,MJD,True
58383.28832,I,,,,,22,Vega,,1,,MJD,True
58386.33797,I,,,0.445,,21.733,Vega,,1,,MJD,
58406.22565,I,,,,,22,Vega,,1,,MJD,True
58409.17908,I,,,,,22,Vega,,1,,MJD,True
58413.15077,I,,,,,22,Vega,,1,,MJD,True
58416.15908,I,,,,,22,Vega,,1,,MJD,True
58423.14329,I,,,,,22,Vega,,1,,MJD,True
58429.16103,I,,,,,22,Vega,,1,,MJD,True
58433.18532,I,,,,,22,Vega,,1,,MJD,True
58437.15824,I,,,,,22,Vega,,1,,MJD,True
58441.13453,I,,,,,22,Vega,,1,,MJD,True
58445.12872,I,,,,,22,Vega,,1,,MJD,True
58448.18081,I,,,0.188,,21.192,Vega,,1,,MJD,
58451.15377,I,,,0.126,,20.724,Vega,,1,,MJD,
58454.15725,I,,,0.128,,20.758,Vega,,1,,MJD,
58457.17059,I,,,0.113,,20.601,Vega,,1,,MJD,
58462.09678,I,,,0.096,,20.577,Vega,,1,,MJD,
58465.15500,I,,,0.068,,20.262,Vega,,1,,MJD,
58471.12087,I,,,0.077,,20.033,Vega,,1,,MJD,
58476.11681,I,,,0.071,,20.017,Vega,,1,,MJD,
58483.08189,I,,,0.043,,19.622,Vega,,1,,MJD,
58493.09142,I,,,0.050,,19.337,Vega,,1,,MJD,
58505.14791,I,,,0.038,,18.985,Vega,,1,,MJD,
58508.15071,I,,,0.030,,18.884,Vega,,1,,MJD,
58513.15752,I,,,0.034,,18.938,Vega,,1,,MJD,
58519.09143,I,,,0.024,,18.826,Vega,,1,,MJD,
58527.08755,I,,,0.030,,18.801,Vega,,1,,MJD,
58534.07894,I,,,0.036,,18.804,Vega,,1,,MJD,
58542.07238,I,,,0.025,,18.867,Vega,,1,,MJD,
58550.06732,I,,,0.024,,18.826,Vega,,1,,MJD,
58559.01254,I,,,0.042,,18.961,Vega,,1,,MJD,
58674.41795,I,,,0.087,,19.998,Vega,,1,,MJD,
58683.43828,I,,,0.110,,20.171,Vega,,1,,MJD,
58684.36609,I,,,0.080,,20.066,Vega,,1,,MJD,
58692.37420,I,,,0.084,,20.069,Vega,,1,,MJD,
58698.38483,I,,,0.061,,20.094,Vega,,1,,MJD,
58699.35919,I,,,0.067,,20.186,Vega,,1,,MJD,
58704.37986,I,,,0.101,,20.179,Vega,,1,,MJD,
58709.38096,I,,,0.098,,20.085,Vega,,1,,MJD,
58713.36619,I,,,0.106,,20.217,Vega,,1,,MJD,
58717.36420,I,,,0.087,,20.286,Vega,,1,,MJD,
58720.35426,I,,,0.095,,20.238,Vega,,1,,MJD,
58725.31977,I,,,0.101,,20.411,Vega,,1,,MJD,
58730.30486,I,,,0.108,,20.355,Vega,,1,,MJD,
58737.32402,I,,,0.170,,20.449,Vega,,1,,MJD,
58741.25964,I,,,0.154,,20.554,Vega,,1,,MJD,
58748.28689,I,,,0.113,,20.650,Vega,,1,,MJD,
58753.36063,I,,,0.205,,20.857,Vega,,1,,MJD,
58756.32353,I,,,0.090,,20.531,Vega,,1,,MJD,
58761.18900,I,,,0.128,,20.686,Vega,,1,,MJD,
58764.20172,I,,,0.123,,20.702,Vega,,1,,MJD,
58773.27175,I,,,0.422,,21.306,Vega,,1,,MJD,
58776.29629,I,,,0.263,,20.880,Vega,,1,,MJD,
58780.23695,I,,,0.109,,20.717,Vega,,1,,MJD,
58784.27387,I,,,0.154,,21.030,Vega,,1,,MJD,
58791.24617,I,,,0.163,,21.037,Vega,,1,,MJD,
58796.06465,I,,,0.174,,20.798,Vega,,1,,MJD,
58799.07214,I,,,0.217,,20.729,Vega,,1,,MJD,
58802.06933,I,,,0.184,,20.995,Vega,,1,,MJD,
58805.08939,I,,,0.151,,20.683,Vega,,1,,MJD,
58810.16717,I,,,0.117,,20.758,Vega,,1,,MJD,
58816.14228,I,,,0.159,,20.877,Vega,,1,,MJD,
58823.09350,I,,,0.168,,21.040,Vega,,1,,MJD,
58826.13464,I,,,0.182,,21.024,Vega,,1,,MJD,
