time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58128.23167,I,,,,,22,Vega,,3,,MJD,True
58137.17643,I,,,,,22,Vega,,3,,MJD,True
58146.16197,I,,,,,22,Vega,,3,,MJD,True
58152.11402,I,,,,,22,Vega,,3,,MJD,True
58172.10229,I,,,0.064,,19.613,Vega,,3,,MJD,
58187.08972,I,,,0.080,,20.075,Vega,,3,,MJD,
58200.05258,I,,,0.076,,20.050,Vega,,3,,MJD,
58207.99018,I,,,0.178,,20.487,Vega,,3,,MJD,
58211.99119,I,,,0.170,,20.402,Vega,,3,,MJD,
58216.06653,I,,,0.389,,21.172,Vega,,3,,MJD,
58223.99117,I,,,0.191,,20.985,Vega,,3,,MJD,
58228.01130,I,,,0.247,,21.337,Vega,,3,,MJD,
58233.00624,I,,,0.303,,21.308,Vega,,3,,MJD,
58237.99100,I,,,0.233,,20.679,Vega,,3,,MJD,
58359.38752,I,,,0.494,,21.928,Vega,,3,,MJD,
58366.37099,I,,,,,22,Vega,,3,,MJD,True
58372.39297,I,,,,,22,Vega,,3,,MJD,True
58382.37649,I,,,,,22,Vega,,3,,MJD,True
58393.32531,I,,,,,22,Vega,,3,,MJD,True
58404.24765,I,,,,,22,Vega,,3,,MJD,True
58407.30434,I,,,,,22,Vega,,3,,MJD,True
58413.24263,I,,,,,22,Vega,,3,,MJD,True
58423.19100,I,,,,,22,Vega,,3,,MJD,True
58431.18018,I,,,,,22,Vega,,3,,MJD,True
58436.22415,I,,,,,22,Vega,,3,,MJD,True
58442.21784,I,,,,,22,Vega,,3,,MJD,True
58449.21788,I,,,,,22,Vega,,3,,MJD,True
58454.26592,I,,,,,22,Vega,,3,,MJD,True
58459.19563,I,,,,,22,Vega,,3,,MJD,True
58463.20459,I,,,,,22,Vega,,3,,MJD,True
58468.33133,I,,,,,22,Vega,,3,,MJD,True
58474.25873,I,,,0.478,,21.870,Vega,,3,,MJD,
58478.22434,I,,,,,22,Vega,,3,,MJD,True
58482.23301,I,,,,,22,Vega,,3,,MJD,True
58487.21785,I,,,,,22,Vega,,3,,MJD,True
58494.22910,I,,,,,22,Vega,,3,,MJD,True
58498.28105,I,,,,,22,Vega,,3,,MJD,True
58505.26740,I,,,,,22,Vega,,3,,MJD,True
58509.22739,I,,,,,22,Vega,,3,,MJD,True
58514.22062,I,,,,,22,Vega,,3,,MJD,True
58522.13668,I,,,,,22,Vega,,3,,MJD,True
58530.02581,I,,,,,22,Vega,,3,,MJD,True
58537.01382,I,,,,,22,Vega,,3,,MJD,True
58544.01081,I,,,,,22,Vega,,3,,MJD,True
58553.01451,I,,,0.319,,21.302,Vega,,3,,MJD,
58559.05963,I,,,,,22,Vega,,3,,MJD,True
58564.02565,I,,,0.531,,21.968,Vega,,3,,MJD,
58568.06255,I,,,,,22,Vega,,3,,MJD,True
58579.02634,I,,,,,22,Vega,,3,,MJD,True
58583.97995,I,,,,,22,Vega,,3,,MJD,True
58590.98457,I,,,,,22,Vega,,3,,MJD,True
58715.38433,I,,,,,22,Vega,,3,,MJD,True
58723.35847,I,,,,,22,Vega,,3,,MJD,True
58727.40823,I,,,,,22,Vega,,3,,MJD,True
58730.40902,I,,,,,22,Vega,,3,,MJD,True
58737.38798,I,,,0.617,,21.876,Vega,,3,,MJD,
58741.32561,I,,,,,22,Vega,,3,,MJD,True
58748.37351,I,,,,,22,Vega,,3,,MJD,True
58754.37492,I,,,0.478,,21.746,Vega,,3,,MJD,
58760.34610,I,,,,,22,Vega,,3,,MJD,True
58763.33463,I,,,,,22,Vega,,3,,MJD,True
58771.37693,I,,,,,22,Vega,,3,,MJD,True
58774.35198,I,,,0.380,,21.543,Vega,,3,,MJD,
58778.30723,I,,,,,22,Vega,,3,,MJD,True
58784.30151,I,,,,,22,Vega,,3,,MJD,True
58795.22557,I,,,,,22,Vega,,3,,MJD,True
58798.26964,I,,,,,22,Vega,,3,,MJD,True
58801.18532,I,,,0.726,,21.491,Vega,,3,,MJD,
58804.17229,I,,,,,22,Vega,,3,,MJD,True
58816.23462,I,,,,,22,Vega,,3,,MJD,True
