time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58487.08160,I,,,,,22,Vega,,2,,MJD,True
58496.10364,I,,,,,22,Vega,,2,,MJD,True
58503.11434,I,,,,,22,Vega,,2,,MJD,True
58507.08802,I,,,,,22,Vega,,2,,MJD,True
58512.09463,I,,,,,22,Vega,,2,,MJD,True
58516.12725,I,,,,,22,Vega,,2,,MJD,True
58525.09172,I,,,,,22,Vega,,2,,MJD,True
58533.02893,I,,,,,22,Vega,,2,,MJD,True
58540.02777,I,,,,,22,Vega,,2,,MJD,True
58548.02575,I,,,,,22,Vega,,2,,MJD,True
58674.44199,I,,,0.182,,20.377,Vega,,2,,MJD,
58682.43252,I,,,0.075,,19.933,Vega,,2,,MJD,
58692.42926,I,,,0.059,,19.833,Vega,,2,,MJD,
58700.39769,I,,,0.065,,19.950,Vega,,2,,MJD,
58705.39811,I,,,0.064,,20.006,Vega,,2,,MJD,
58711.33746,I,,,0.177,,20.141,Vega,,2,,MJD,
58715.33889,I,,,0.054,,19.965,Vega,,2,,MJD,
58718.37316,I,,,0.077,,20.130,Vega,,2,,MJD,
58722.33206,I,,,0.061,,20.082,Vega,,2,,MJD,
58726.27834,I,,,0.084,,20.356,Vega,,2,,MJD,
58734.25433,I,,,0.125,,20.188,Vega,,2,,MJD,
58738.25362,I,,,0.244,,21.007,Vega,,2,,MJD,
58746.29637,I,,,0.146,,20.526,Vega,,2,,MJD,
58750.30444,I,,,0.161,,20.964,Vega,,2,,MJD,
58754.32882,I,,,0.171,,20.779,Vega,,2,,MJD,
58757.30848,I,,,0.312,,21.500,Vega,,2,,MJD,
58761.25285,I,,,0.112,,20.762,Vega,,2,,MJD,
58764.25234,I,,,0.167,,21.123,Vega,,2,,MJD,
58772.25638,I,,,0.470,,21.550,Vega,,2,,MJD,
58781.18593,I,,,0.230,,21.577,Vega,,2,,MJD,
58785.12385,I,,,,,22,Vega,,2,,MJD,True
58792.08388,I,,,0.346,,21.426,Vega,,2,,MJD,
58796.08731,I,,,0.328,,21.470,Vega,,2,,MJD,
58799.11656,I,,,0.516,,21.683,Vega,,2,,MJD,
58802.11390,I,,,0.375,,21.871,Vega,,2,,MJD,
58805.13404,I,,,0.304,,21.709,Vega,,2,,MJD,
58812.12645,I,,,,,22,Vega,,2,,MJD,True
58823.12000,I,,,,,22,Vega,,2,,MJD,True
58826.18332,I,,,,,22,Vega,,2,,MJD,True
