time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55072.6,i,,,,,23.06791,,PS1,1,,MJD,True
55074.6,g,,,,,22.68087,,PS1,1,,MJD,True
55074.6,r,,,,,22.7074,,PS1,1,,MJD,True
55075.6,i,,,,,22.69390,,PS1,1,,MJD,True
55083.6,r,,,,,22.3696,,PS1,1,,MJD,True
55086.6,g,,,,,22.337312,,PS1,1,,MJD,True
55086.6,r,,,,,22.399582,,PS1,1,,MJD,True
55087.5,i,,,,,22.047786,,PS1,1,,MJD,True
55089.6,g,,,,,22.83340,,PS1,1,,MJD,True
55089.6,r,,,,,22.71038,,PS1,1,,MJD,True
55090.6,i,,,,,23.00813,,PS1,1,,MJD,True
55091.6,z,,,,,22.4355,,PS1,1,,MJD,True
55093.5,i,,,,,22.98218,,PS1,1,,MJD,True
55094.6,z,,,,,20.98438,,PS1,1,,MJD,True
55095.5,g,,,,,22.59864,,PS1,1,,MJD,True
55095.6,r,,,,,22.36423,,PS1,1,,MJD,True
55096.5,i,,,,,23.1409,,PS1,1,,MJD,True
55097.6,z,,,,,22.162606,,PS1,1,,MJD,True
55098.5,g,,,,,22.67276,,PS1,1,,MJD,True
55098.6,r,,,,,22.64064,,PS1,1,,MJD,True
55101.6,g,,,,,22.83694,,PS1,1,,MJD,True
55101.6,r,,,,,22.71918,,PS1,1,,MJD,True
55102.5,i,,,,,22.9627,,PS1,1,,MJD,True
55103.5,z,,,,,22.68808,,PS1,1,,MJD,True
55104.6,g,,,,,22.69507,,PS1,1,,MJD,True
55104.6,r,,,,,22.7642,,PS1,1,,MJD,True
55161.3,g,,,,,22.34021,,PS1,1,,MJD,True
55161.4,r,,,,,22.67066,,PS1,1,,MJD,True
55170.3,g,,,,,22.30178,,PS1,1,,MJD,True
55170.4,r,,,,,22.34406,,PS1,1,,MJD,True
55172.3,z,,,,,22.38708,,PS1,1,,MJD,True
55173.4,g,,,,,22.7910,,PS1,1,,MJD,True
55173.4,r,,,,,22.82634,,PS1,1,,MJD,True
55176.4,g,,,,,22.7172,,PS1,1,,MJD,True
55176.4,r,,,,,22.4352,,PS1,1,,MJD,True
55179.4,g,,,,,22.9488,,PS1,1,,MJD,True
55179.4,r,,,,,22.9400,,PS1,1,,MJD,True
55180.3,i,,,,,23.1443,,PS1,1,,MJD,True
55181.3,z,,,,,22.5467,,PS1,1,,MJD,True
55183.3,i,,,,,22.39274,,PS1,1,,MJD,
55183.324541,i,,,0.131,,22.305,AB,PS1,3,,MJD,
55184.3,z,,,,,22.0879,,PS1,1,,MJD,True
55186.390668,i,,,0.101,,21.354,AB,PS1,3,,MJD,
55186.4,i,,,,,21.50392,,PS1,1,,MJD,
55187.258116,z,,,0.092,,21.3,AB,PS1,3,,MJD,
55187.3,z,,,,,21.23466,,PS1,1,,MJD,
55188.3,g,,,,,20.62870,,PS1,1,,MJD,
55188.3,r,,,,,20.47407,,PS1,1,,MJD,
55188.316413,g,,,0.045,,20.615,AB,PS1,3,,MJD,
55188.33143,r,,,0.045,,20.635,AB,PS1,3,,MJD,
55189.3,i,,,,,20.69752,,PS1,1,,MJD,
55189.312639,i,,,0.049,,20.676,AB,PS1,3,,MJD,
55191.2,g,,,,,20.09112,,PS1,1,,MJD,
55191.238988,g,,,0.036,,20.078,AB,PS1,3,,MJD,
55191.3,r,,,,,20.19894,,PS1,1,,MJD,
55199.2,z,,,,,20.24902,,PS1,1,,MJD,
55200.3,z,,,,,20.34434,,PS1,1,,MJD,
55202.3,z,,,,,20.44306,,PS1,1,,MJD,
55202.302496,z,,,0.038,,20.46,AB,PS1,3,,MJD,
55203.2,g,,,,,19.542714,,PS1,1,,MJD,
55203.248546,g,,,0.019,,19.551,AB,PS1,3,,MJD,
55203.265042,r,,,0.035,,19.622,AB,PS1,3,,MJD,
55203.3,r,,,,,19.611651,,PS1,1,,MJD,
55204.3,i,,,,,19.959950,,PS1,1,,MJD,
55204.304396,i,,,0.03,,19.95,AB,PS1,3,,MJD,
55205.3,z,,,,,20.53354,,PS1,1,,MJD,
55205.347892,z,,,0.051,,20.551,AB,PS1,3,,MJD,
55206.281763,g,,,0.04,,19.698,AB,PS1,3,,MJD,
55206.3,g,,,,,19.665258,,PS1,1,,MJD,
55206.3,r,,,,,19.642099,,PS1,1,,MJD,
55206.314407,r,,,0.048,,19.639,AB,PS1,3,,MJD,
55211.2,z,,,,,20.83384,,PS1,1,,MJD,
55211.234757,z,,,0.095,,20.732,AB,PS1,3,,MJD,
55213.2,i,,,,,20.39834,,PS1,1,,MJD,
55213.242231,i,,,0.03,,20.4,AB,PS1,3,,MJD,
55214.2,z,,,,,20.99907,,PS1,1,,MJD,
55214.24493,z,,,0.06,,20.979,AB,PS1,3,,MJD,
55222.2,i,,,,,20.44730,,PS1,1,,MJD,True
55222.230079,i,,,0.114,,20.657,AB,PS1,3,,MJD,
55406.6,z,,,,,22.43505,,PS1,1,,MJD,True
55407.6,z,,,,,22.32995,,PS1,1,,MJD,True
55413.6,g,,,,,22.7742,,PS1,1,,MJD,True
55413.6,r,,,,,22.8156,,PS1,1,,MJD,True
55414.6,i,,,,,23.1185,,PS1,1,,MJD,True
55416.6,g,,,,,22.9316,,PS1,1,,MJD,True
55416.6,r,,,,,22.7928,,PS1,1,,MJD,True
55417.6,i,,,,,23.1212,,PS1,1,,MJD,True
55422.6,g,,,,,22.7201,,PS1,1,,MJD,True
55422.6,r,,,,,22.5785,,PS1,1,,MJD,True
55423.6,i,,,,,23.1251,,PS1,1,,MJD,True
55424.6,z,,,,,22.6070,,PS1,1,,MJD,True
55425.6,g,,,,,22.9060,,PS1,1,,MJD,True
55425.6,r,,,,,22.9154,,PS1,1,,MJD,True
55426.6,i,,,,,23.0896,,PS1,1,,MJD,True
55427.6,z,,,,,22.6804,,PS1,1,,MJD,True
55428.6,g,,,,,22.8490,,PS1,1,,MJD,True
55428.6,r,,,,,22.8380,,PS1,1,,MJD,True
55435.5,i,,,,,22.9280,,PS1,1,,MJD,True
55439.6,z,,,,,22.6705,,PS1,1,,MJD,True
55441.6,i,,,,,23.1295,,PS1,1,,MJD,True
55442.6,z,,,,,22.6876,,PS1,1,,MJD,True
55444.6,i,,,,,23.13293,,PS1,1,,MJD,True
55445.6,z,,,,,22.60574,,PS1,1,,MJD,True
55446.6,g,,,,,22.8313,,PS1,1,,MJD,True
55446.6,r,,,,,22.8232,,PS1,1,,MJD,True
55447.6,i,,,,,23.1856,,PS1,1,,MJD,True
55448.6,z,,,,,22.6392,,PS1,1,,MJD,True
55449.6,g,,,,,22.6658,,PS1,1,,MJD,True
55449.6,r,,,,,22.85260,,PS1,1,,MJD,True
