time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55161.6,g,,,,,23.2143,,PS1,1,,MJD,True
55161.6,r,,,,,22.9790,,PS1,1,,MJD,True
55163.6,z,,,,,23.0704,,PS1,1,,MJD,True
55176.6,g,,,,,23.4660,,PS1,1,,MJD,True
55176.6,r,,,,,23.1501,,PS1,1,,MJD,True
55179.6,g,,,,,23.2313,,PS1,1,,MJD,True
55179.6,r,,,,,23.814,,PS1,1,,MJD,True
55180.6,i,,,,,23.519,,PS1,1,,MJD,True
55181.6,z,,,,,23.3150,,PS1,1,,MJD,True
55183.6,i,,,,,23.5458,,PS1,1,,MJD,True
55186.6,i,,,,,23.3273,,PS1,1,,MJD,True
55188.6,g,,,,,23.324,,PS1,1,,MJD,True
55188.6,r,,,,,23.5609,,PS1,1,,MJD,True
55189.6,i,,,,,23.716,,PS1,1,,MJD,True
55190.5,z,,,,,23.5687,,PS1,1,,MJD,True
55191.5,g,,,,,23.5120,,PS1,1,,MJD,True
55192.5,i,,,,,23.6389,,PS1,1,,MJD,True
55193.6,z,,,,,23.7928,,PS1,1,,MJD,True
55204.6,i,,,,,23.7409,,PS1,1,,MJD,True
55206.564396,g,,,0.255,,24.204,AB,PS1,3,,MJD,
55206.579347,r,,,0.137,,23.726,AB,PS1,3,,MJD,
55206.6,g,,,,,24.0238,,PS1,1,,MJD,True
55206.6,r,,,,,23.5733,,PS1,1,,MJD,
55207.553169,i,,,0.152,,23.458,AB,PS1,3,,MJD,
55207.6,i,,,,,23.4122,,PS1,1,,MJD,
55208.6,z,,,,,23.0506,,PS1,1,,MJD,
55210.5,i,,,,,22.8311,,PS1,1,,MJD,
55210.533343,i,,,0.225,,23.062,AB,PS1,3,,MJD,
55211.5,z,,,,,22.36196,,PS1,1,,MJD,
55212.5,g,,,,,22.39176,,PS1,1,,MJD,
55212.5,r,,,,,22.26688,,PS1,1,,MJD,
55212.504936,g,,,0.087,,22.454,AB,PS1,3,,MJD,
55212.524128,g,,,0.064,,22.47,AB,PS1,3,,MJD,
55212.533724,g,,,0.093,,22.45,AB,PS1,3,,MJD,
55212.538048,r,,,0.046,,22.297,AB,PS1,3,,MJD,
55213.44173,i,,,0.123,,22.278,AB,PS1,3,,MJD,
55213.455926,i,,,0.087,,22.348,AB,PS1,3,,MJD,
55213.468348,i,,,0.12,,22.324,AB,PS1,3,,MJD,
55213.5,i,,,,,22.34567,,PS1,1,,MJD,
55214.5,z,,,,,22.19119,,PS1,1,,MJD,
55215.559776,g,,,0.057,,22.055,AB,PS1,3,,MJD,
55215.6,g,,,,,22.06609,,PS1,1,,MJD,
55215.6,r,,,,,22.06050,,PS1,1,,MJD,
55216.6,i,,,,,22.05522,,PS1,1,,MJD,
55217.463524,g,,,0.022,,21.917,AB,PS1,3,,MJD,
55217.5,g,,,,,21.89374,,PS1,1,,MJD,
55217.5,r,,,,,21.77431,,PS1,1,,MJD,
55217.524325,r,,,0.025,,21.78,AB,PS1,3,,MJD,
55217.585379,i,,,0.057,,22.056,AB,PS1,3,,MJD,
55217.6,i,,,,,22.00454,,PS1,1,,MJD,
55218.6,z,,,,,21.93506,,PS1,1,,MJD,
55219.5,i,,,,,21.91321,,PS1,1,,MJD,
55219.515288,i,,,0.095,,21.913,AB,PS1,3,,MJD,
55220.5,z,,,,,21.89235,,PS1,1,,MJD,
55221.467493,g,,,0.054,,21.761,AB,PS1,3,,MJD,
55221.482199,r,,,0.038,,21.603,AB,PS1,3,,MJD,
55221.5,g,,,,,21.79441,,PS1,1,,MJD,
55221.5,r,,,,,21.59030,,PS1,1,,MJD,
55222.4,i,,,,,21.70868,,PS1,1,,MJD,
55222.443355,i,,,0.054,,21.686,AB,PS1,3,,MJD,
55223.4,z,,,,,21.66390,,PS1,1,,MJD,
55230.373802,g,,,0.213,,21.804,AB,PS1,3,,MJD,
55230.388171,r,,,0.226,,21.85,AB,PS1,3,,MJD,
55230.4,g,,,,,21.81716,,PS1,1,,MJD,
55230.4,r,,,,,21.69652,,PS1,1,,MJD,True
55231.382423,i,,,0.094,,22.038,AB,PS1,3,,MJD,
55231.4,i,,,,,21.91404,,PS1,1,,MJD,
