time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55741.6,i,,,0.25,,23.13,AB,PS1,1,,MJD,
55742.6,z,,,0.15,,23.07,AB,PS1,1,,MJD,
55743.6,g,,,0.21,,23.16,AB,PS1,1,,MJD,
55743.6,r,,,0.17,,22.75,AB,PS1,1,,MJD,
55747.6,i,,,0.19,,22.76,AB,PS1,1,,MJD,
55751.6,z,,,0.19,,22.80,AB,PS1,1,,MJD,
55754.6,z,,,0.21,,22.55,AB,PS1,1,,MJD,
55763.6,z,,,0.21,,22.22,AB,PS1,1,,MJD,
55764.6,g,,,0.30,,22.78,AB,PS1,1,,MJD,
55764.6,r,,,0.13,,22.29,AB,PS1,1,,MJD,
55765.6,i,,,0.14,,22.61,AB,PS1,1,,MJD,
55767.6,g,,,0.10,,22.36,AB,PS1,1,,MJD,
55767.6,r,,,0.10,,22.24,AB,PS1,1,,MJD,
55768.6,i,,,0.07,,22.14,AB,PS1,1,,MJD,
55769.6,z,,,0.10,,22.13,AB,PS1,1,,MJD,
55770.5,g,,,0.13,,22.71,AB,PS1,1,,MJD,
55770.6,r,,,0.08,,22.18,AB,PS1,1,,MJD,
55771.4,i,,,0.18,,21.99,AB,PS1,1,,MJD,
55772.5,z,,,0.29,,22.68,AB,PS1,1,,MJD,
55773.6,g,,,0.15,,22.71,AB,PS1,1,,MJD,
55773.6,r,,,0.07,,21.94,AB,PS1,1,,MJD,
55774.6,i,,,0.08,,21.96,AB,PS1,1,,MJD,
55775.6,z,,,0.08,,22.10,AB,PS1,1,,MJD,
55776.6,g,,,0.08,,22.61,AB,PS1,1,,MJD,
55777.4,i,,,0.09,,22.01,AB,PS1,1,,MJD,
55779.6,g,,,0.09,,22.68,AB,PS1,1,,MJD,
55779.6,r,,,0.09,,22.04,AB,PS1,1,,MJD,
55782.4,g,,,0.33,,22.29,AB,PS1,1,,MJD,
55782.4,r,,,0.13,,21.89,AB,PS1,1,,MJD,
55791.6,g,,,0.25,,22.10,AB,PS1,1,,MJD,
55792.6,i,,,0.09,,21.82,AB,PS1,1,,MJD,
55793.6,z,,,0.13,,22.13,AB,PS1,1,,MJD,
55794.5,g,,,0.19,,22.63,AB,PS1,1,,MJD,
55794.5,r,,,0.07,,21.83,AB,PS1,1,,MJD,
55796.6,z,,,0.13,,22.11,AB,PS1,1,,MJD,
55797.5,g,,,0.12,,22.60,AB,PS1,1,,MJD,
55799.3,z,,,0.10,,22.04,AB,PS1,1,,MJD,
55800.3,g,,,0.24,,22.59,AB,PS1,1,,MJD,
55800.3,r,,,0.12,,21.82,AB,PS1,1,,MJD,
55801.3,i,,,0.07,,21.80,AB,PS1,1,,MJD,
55802.5,z,,,0.08,,21.75,AB,PS1,1,,MJD,
55803.5,g,,,0.10,,22.67,AB,PS1,1,,MJD,
55803.5,r,,,0.11,,21.99,AB,PS1,1,,MJD,
55804.5,i,,,0.07,,21.79,AB,PS1,1,,MJD,
55805.3,z,,,0.15,,21.98,AB,PS1,1,,MJD,
55806.4,g,,,0.18,,22.39,AB,PS1,1,,MJD,
55806.4,r,,,0.07,,21.88,AB,PS1,1,,MJD,
55807.3,i,,,0.19,,21.95,AB,PS1,1,,MJD,
55808.3,z,,,0.11,,21.83,AB,PS1,1,,MJD,
55809.3,g,,,0.18,,22.47,AB,PS1,1,,MJD,
55810.3,i,,,0.06,,21.74,AB,PS1,1,,MJD,
55811.3,z,,,0.10,,21.84,AB,PS1,1,,MJD,
55812.4,g,,,0.24,,22.75,AB,PS1,1,,MJD,
55819.3,i,,,0.06,,21.59,AB,PS1,1,,MJD,
55821.3,g,,,0.16,,22.67,AB,PS1,1,,MJD,
55821.3,r,,,0.08,,21.68,AB,PS1,1,,MJD,
55822.5,i,,,0.05,,21.60,AB,PS1,1,,MJD,
55823.3,z,,,0.06,,21.71,AB,PS1,1,,MJD,
55824.3,g,,,0.13,,22.35,AB,PS1,1,,MJD,
55824.3,r,,,0.09,,21.72,AB,PS1,1,,MJD,
55825.3,i,,,0.08,,21.50,AB,PS1,1,,MJD,
55827.4,z,,,0.06,,21.70,AB,PS1,1,,MJD,
55828.3,g,,,0.04,,22.35,AB,PS1,1,,MJD,
55829.3,r,,,0.05,,21.57,AB,PS1,1,,MJD,
55830.3,g,,,0.24,,22.55,AB,PS1,1,,MJD,
55830.3,z,,,0.11,,21.67,AB,PS1,1,,MJD,
55832.3,z,,,0.14,,21.60,AB,PS1,1,,MJD,
55833.3,g,,,0.12,,22.33,AB,PS1,1,,MJD,
55833.3,r,,,0.22,,21.96,AB,PS1,1,,MJD,
55834.3,i,,,0.06,,21.49,AB,PS1,1,,MJD,
55836.2,g,,,0.11,,22.32,AB,PS1,1,,MJD,
55836.2,r,,,0.10,,21.63,AB,PS1,1,,MJD,
55836.5,g,,,0.10,,22.25,AB,gem,1,,MJD,
