time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55672.512353,i,,,0.258,,23.379,AB,PS1,2,,MJD,
55674.521384,r,,,0.232,,23.347,AB,PS1,2,,MJD,
55675.576873,i,,,0.147,,22.6,AB,PS1,2,,MJD,
55677.582527,g,,,0.145,,22.845,AB,PS1,2,,MJD,
55677.595449,r,,,0.086,,22.365,AB,PS1,2,,MJD,
55678.555753,i,,,0.086,,22.35,AB,PS1,2,,MJD,
55693.426855,i,,,0.274,,21.956,AB,PS1,2,,MJD,
55701.578935,r,,,0.164,,22.164,AB,PS1,2,,MJD,
55702.517058,i,,,0.083,,21.919,AB,PS1,2,,MJD,
55708.424336,i,,,0.123,,21.897,AB,PS1,2,,MJD,
55710.465996,g,,,0.212,,23.398,AB,PS1,2,,MJD,
55710.478395,r,,,0.158,,22.729,AB,PS1,2,,MJD,
55711.48941,i,,,0.075,,22.331,AB,PS1,2,,MJD,
55714.399712,i,,,0.109,,22.327,AB,PS1,2,,MJD,
55723.351927,i,,,0.156,,22.867,AB,PS1,2,,MJD,
55724.450375,z,,,0.182,,22.587,AB,PS1,2,,MJD,
55736.466212,z,,,0.129,,22.59,AB,PS1,2,,MJD,
55738.394031,i,,,0.328,,22.822,AB,PS1,2,,MJD,
55739.464992,z,,,0.302,,22.353,AB,PS1,2,,MJD,
55745.338417,z,,,0.239,,23.25,AB,PS1,2,,MJD,
55747.3398,i,,,0.157,,23.215,AB,PS1,2,,MJD,
55762.334953,i,,,0.302,,23.791,AB,PS1,2,,MJD,
55777.269146,i,,,0.318,,23.955,AB,PS1,2,,MJD,
55801.261863,i,,,0.22,,23.686,AB,PS1,2,,MJD,
