time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55931.5,z,,,0.1,,23.84,AB,PS1,1,,MJD,True
55935.5,z,,,0.1,,23.23,AB,PS1,1,,MJD,True
55941.6,g,,,0.1,,23.65,AB,PS1,1,,MJD,True
55941.6,r,,,0.1,,23.80,AB,PS1,1,,MJD,True
55945.5,i,,,0.02,,21.12,AB,PS1,1,,MJD,
55946.6,z,,,0.04,,21.25,AB,PS1,1,,MJD,
55947.6,g,,,0.03,,21.33,AB,PS1,1,,MJD,
55947.6,r,,,0.04,,21.28,AB,PS1,1,,MJD,
55948.4,r,,,0.07,,21.38,AB,PS1,1,,MJD,
55948.5,i,,,0.04,,21.26,AB,PS1,1,,MJD,
55949.6,g,,,0.13,,21.91,AB,PS1,1,,MJD,
55949.6,z,,,0.10,,21.58,AB,PS1,1,,MJD,
55952.6,g,,,0.03,,21.74,AB,PS1,1,,MJD,
55952.6,r,,,0.04,,21.66,AB,PS1,1,,MJD,
55954.6,z,,,0.07,,21.86,AB,PS1,1,,MJD,
55955.6,g,,,0.11,,22.32,AB,PS1,1,,MJD,
55955.6,r,,,0.06,,21.64,AB,PS1,1,,MJD,
55956.4,i,,,0.05,,21.55,AB,PS1,1,,MJD,
55959.5,z,,,0.1,,22.80,AB,PS1,1,,MJD,True
55960.5,i,,,0.06,,21.94,AB,PS1,1,,MJD,
55961.3,z,,,0.23,,22.85,AB,PS1,1,,MJD,
55969.5,z,,,0.1,,23.80,AB,PS1,1,,MJD,True
55970.5,g,,,0.1,,23.60,AB,PS1,1,,MJD,True
55970.5,r,,,0.1,,23.87,AB,PS1,1,,MJD,True
55971.6,i,,,0.23,,23.30,AB,PS1,1,,MJD,
55972.6,z,,,0.1,,23.70,AB,PS1,1,,MJD,True
55973.5,g,,,0.1,,24.02,AB,PS1,1,,MJD,True
55973.5,r,,,0.1,,24.20,AB,PS1,1,,MJD,True
55977.5,i,,,0.23,,23.38,AB,PS1,1,,MJD,
55979.5,i,,,0.1,,23.51,AB,PS1,1,,MJD,True
55983.3,z,,,0.1,,22.99,AB,PS1,1,,MJD,True
55984.3,g,,,0.1,,24.05,AB,PS1,1,,MJD,True
55984.3,r,,,0.1,,24.07,AB,PS1,1,,MJD,True
55985.4,i,,,0.32,,24.26,AB,PS1,1,,MJD,
55997.4,z,,,0.1,,23.53,AB,PS1,1,,MJD,True
55998.3,i,,,0.1,,22.18,AB,PS1,1,,MJD,True
55999.3,z,,,0.1,,22.99,AB,PS1,1,,MJD,True
56000.5,g,,,0.1,,23.83,AB,PS1,1,,MJD,True
56000.5,r,,,0.1,,23.77,AB,PS1,1,,MJD,True
56001.5,i,,,0.1,,23.62,AB,PS1,1,,MJD,True
