time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56204.5,i,,,0.08,,22.15,AB,PS1,1,,MJD,
56205.5,z,,,0.15,,22.31,AB,PS1,1,,MJD,
56206.6,r,,,0.18,,22.94,AB,PS1,1,,MJD,
56207.6,i,,,0.09,,22.49,AB,PS1,1,,MJD,
56208.6,z,,,0.15,,22.23,AB,PS1,1,,MJD,
56209.5,r,,,0.17,,23.02,AB,PS1,1,,MJD,
56210.5,i,,,0.05,,22.32,AB,PS1,1,,MJD,
56211.5,z,,,0.12,,22.19,AB,PS1,1,,MJD,
56213.5,i,,,0.15,,22.64,AB,PS1,1,,MJD,
56214.5,z,,,0.21,,22.45,AB,PS1,1,,MJD,
56215.5,i,,,0.17,,22.47,AB,PS1,1,,MJD,
56216.5,z,,,0.17,,22.03,AB,PS1,1,,MJD,
56217.5,r,,,0.22,,22.99,AB,PS1,1,,MJD,
56218.5,i,,,0.06,,22.40,AB,PS1,1,,MJD,
56219.5,z,,,0.12,,22.19,AB,PS1,1,,MJD,
56221.5,i,,,0.09,,22.48,AB,PS1,1,,MJD,
56222.5,z,,,0.14,,22.24,AB,PS1,1,,MJD,
56226.5,z,,,0.14,,22.31,AB,PS1,1,,MJD,
56229.5,z,,,0.23,,22.51,AB,PS1,1,,MJD,
56232.5,z,,,0.23,,22.62,AB,PS1,1,,MJD,
56233.5,i,,,0.15,,22.76,AB,PS1,1,,MJD,
56234.4,z,,,0.09,,22.38,AB,PS1,1,,MJD,
56235.5,r,,,0.31,,23.73,AB,PS1,1,,MJD,
56236.4,i,,,0.09,,22.63,AB,PS1,1,,MJD,
56239.5,i,,,0.14,,22.58,AB,PS1,1,,MJD,
56242.4,i,,,0.18,,22.84,AB,PS1,1,,MJD,
56242.4,r,,,0.34,,23.39,AB,PS1,1,,MJD,
56262.4,z,,,0.20,,22.31,AB,PS1,1,,MJD,
56284.3,i,,,0.23,,23.48,AB,PS1,1,,MJD,
56289.3,z,,,0.30,,23.16,AB,PS1,1,,MJD,
56292.3,z,,,0.29,,22.95,AB,PS1,1,,MJD,
56300.3,z,,,0.26,,23.13,AB,PS1,1,,MJD,
56308.2,z,,,0.33,,23.22,AB,PS1,1,,MJD,
56310.3,i,,,0.28,,23.97,AB,PS1,1,,MJD,
