time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56530.5190412869,r,,,0.135937,,21.0519,,Pan-STARRS1,2,,MJD,
56530.5286637699,r,,,0.182163,,20.9262,,Pan-STARRS1,2,,MJD,
56538.3714340137,g,,,0.0836476,,20.5043,,Pan-STARRS1,2,,MJD,
56538.3822125621,g,,,0.138986,,20.588,,Pan-STARRS1,2,,MJD,
56545.3366654799,g,,,0.160066,,20.7304,,Pan-STARRS1,2,,MJD,
56545.3597645191,r,,,0.0795566,,20.4972,,Pan-STARRS1,2,,MJD,
56545.3703914307,r,,,0.0733193,,20.4308,,Pan-STARRS1,2,,MJD,
56557.2883180095,i,,,0.105359,,20.6182,,Pan-STARRS1,2,,MJD,
56557.299826487,i,,,0.103386,,20.618,,Pan-STARRS1,2,,MJD,
56558.3174106148,i,,,0.089695,,20.8163,,Pan-STARRS1,2,,MJD,
56558.3289872181,i,,,0.0707411,,20.538,,Pan-STARRS1,2,,MJD,
