time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56532.3824448837,i,,,0.12073,,18.831,,Pan-STARRS1,2,,MJD,
56532.3824448837,i,,,0.121109,,18.8484,,Pan-STARRS1,2,,MJD,
56535.4944541412,g,,,0.0413255,,19.0177,,Pan-STARRS1,2,,MJD,
56535.4944541412,g,,,0.044164,,19.0541,,Pan-STARRS1,2,,MJD,
56535.50542759,g,,,0.0370555,,18.9836,,Pan-STARRS1,2,,MJD,
56535.50542759,g,,,0.038886,,19.023,,Pan-STARRS1,2,,MJD,
56535.5423366158,i,,,0.0465627,,18.8132,,Pan-STARRS1,2,,MJD,
56535.5423366158,i,,,0.0465824,,18.822,,Pan-STARRS1,2,,MJD,
56544.3363953866,g,,,0.0346075,,19.1475,,Pan-STARRS1,2,,MJD,
56544.3363953866,g,,,0.0390427,,19.1561,,Pan-STARRS1,2,,MJD,
56544.3478654292,g,,,0.0465697,,19.1579,,Pan-STARRS1,2,,MJD,
56544.3478654293,g,,,0.0410395,,19.1469,,Pan-STARRS1,2,,MJD,
56558.3031629621,r,,,0.0250896,,18.6899,,Pan-STARRS1,2,,MJD,
56558.3031629621,r,,,0.0253277,,18.7073,,Pan-STARRS1,2,,MJD,
56558.3144126021,r,,,0.026495,,18.713,,Pan-STARRS1,2,,MJD,
56558.3144126021,r,,,0.0278707,,18.7437,,Pan-STARRS1,2,,MJD,
56563.3229632279,g,,,0.0824317,,19.4537,,Pan-STARRS1,2,,MJD,
56563.3229632279,g,,,0.0820895,,19.467,,Pan-STARRS1,2,,MJD,
56563.3346931823,g,,,0.0642125,,19.5272,,Pan-STARRS1,2,,MJD,
56563.3346931823,g,,,0.0635034,,19.5424,,Pan-STARRS1,2,,MJD,
56571.2538775699,r,,,0.0686635,,18.8858,,Pan-STARRS1,2,,MJD,
56571.2538775699,r,,,0.0755038,,18.8892,,Pan-STARRS1,2,,MJD,
56571.2647574782,r,,,0.0548404,,18.8094,,Pan-STARRS1,2,,MJD,
56571.2647574782,r,,,0.0530398,,18.8261,,Pan-STARRS1,2,,MJD,
56589.224091324,i,,,0.0427908,,18.8282,,Pan-STARRS1,2,,MJD,
56589.224091324,i,,,0.0384553,,18.8394,,Pan-STARRS1,2,,MJD,
56589.2360676969,i,,,0.0435511,,18.8975,,Pan-STARRS1,2,,MJD,
56589.2360676969,i,,,0.0468772,,18.943,,Pan-STARRS1,2,,MJD,
