time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56582.5713795675,i,,,0.0724107,,19.1995,,Pan-STARRS1,2,,MJD,
56582.5713795675,i,,,0.0698926,,19.2115,,Pan-STARRS1,2,,MJD,
56582.5852447632,i,,,0.0599316,,19.1442,,Pan-STARRS1,2,,MJD,
56582.5852447632,i,,,0.0565764,,19.1604,,Pan-STARRS1,2,,MJD,
56667.3197686164,i,,,0.0334219,,18.9723,,Pan-STARRS1,2,,MJD,
56667.3197686164,i,,,0.0329902,,18.9758,,Pan-STARRS1,2,,MJD,
56667.3335155937,i,,,0.0326133,,19.0358,,Pan-STARRS1,2,,MJD,
56667.3335155937,i,,,0.0330197,,19.0516,,Pan-STARRS1,2,,MJD,
57369.6546653584,z,,,0.106465,,19.2041,,Pan-STARRS1,2,,MJD,
57369.6546653584,z,,,0.109888,,19.2334,,Pan-STARRS1,2,,MJD,
