time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56589.4518748643,i,,,0.057667,,20.023,,Pan-STARRS1,2,,MJD,
56589.4640752231,i,,,0.0634134,,20.0513,,Pan-STARRS1,2,,MJD,
57319.3188758809,i,,,0.188441,,20.0668,,Pan-STARRS1,2,,MJD,
57319.319519049,i,,,0.186991,,19.9646,,Pan-STARRS1,2,,MJD,
57319.331280962,i,,,0.190228,,19.8904,,Pan-STARRS1,2,,MJD,
57319.3424383761,i,,,0.229857,,20.0718,,Pan-STARRS1,2,,MJD,
57319.3430802595,i,,,0.185426,,19.9977,,Pan-STARRS1,2,,MJD,
57320.3122942011,i,,,0.197691,,20.4159,,Pan-STARRS1,2,,MJD,
57320.3129389911,i,,,0.0931651,,20.0118,,Pan-STARRS1,2,,MJD,
57320.3240267075,i,,,0.104199,,20.0428,,Pan-STARRS1,2,,MJD,
57320.3246729194,i,,,0.0993638,,19.9869,,Pan-STARRS1,2,,MJD,
57320.3357829728,i,,,0.124002,,19.9902,,Pan-STARRS1,2,,MJD,
57320.3364288948,i,,,0.0956064,,19.9135,,Pan-STARRS1,2,,MJD,
57320.3482485552,i,,,0.0930653,,19.9431,,Pan-STARRS1,2,,MJD,
58092.3028002592,i,,,0.281634,,20.7448,,Pan-STARRS1,2,,MJD,
58112.2313701093,i,,,0.0656919,,20.5283,,Pan-STARRS1,2,,MJD,
58117.209628574,z,,,0.207452,,19.9593,,Pan-STARRS1,2,,MJD,
