time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57009.2674416421,w,,,0.114454,,20.8008,,Pan-STARRS1,2,,MJD,
57009.279560591,w,,,0.0839382,,20.7363,,Pan-STARRS1,2,,MJD,
57009.2917013862,w,,,0.104467,,20.7519,,Pan-STARRS1,2,,MJD,
57009.303873708,w,,,0.0824009,,20.6879,,Pan-STARRS1,2,,MJD,
57030.2250165138,w,,,0.0486756,,20.5308,,Pan-STARRS1,2,,MJD,
57030.2373944512,w,,,0.0516357,,20.439,,Pan-STARRS1,2,,MJD,
57030.2497838327,w,,,0.0923799,,20.5958,,Pan-STARRS1,2,,MJD,
57030.2622007411,w,,,0.0565793,,20.512,,Pan-STARRS1,2,,MJD,
57032.2238001963,w,,,0.10617,,20.5229,,Pan-STARRS1,2,,MJD,
57032.2354889424,w,,,0.139192,,20.5329,,Pan-STARRS1,2,,MJD,
57032.247089257,w,,,0.127997,,20.6174,,Pan-STARRS1,2,,MJD,
57032.2586784358,w,,,0.0662202,,20.5235,,Pan-STARRS1,2,,MJD,
57246.5563253161,w,,,0.104363,,20.9275,,Pan-STARRS1,2,,MJD,
57246.5674380652,w,,,0.0894277,,21.0697,,Pan-STARRS1,2,,MJD,
57246.5786132748,w,,,0.0978354,,20.9698,,Pan-STARRS1,2,,MJD,
57246.5898595262,w,,,0.0854603,,20.8674,,Pan-STARRS1,2,,MJD,
57276.5133767696,w,,,0.067129,,20.9962,,Pan-STARRS1,2,,MJD,
57277.4869998876,w,,,0.0805331,,21.0258,,Pan-STARRS1,2,,MJD,
57277.4987865282,w,,,0.0831278,,21.0642,,Pan-STARRS1,2,,MJD,
57277.5105739664,w,,,0.0925858,,21.0528,,Pan-STARRS1,2,,MJD,
57277.5223641065,w,,,0.11261,,21.197,,Pan-STARRS1,2,,MJD,
57313.4082135772,w,,,0.160118,,21.2397,,Pan-STARRS1,2,,MJD,
57313.4193644266,w,,,0.197489,,21.2567,,Pan-STARRS1,2,,MJD,
57314.4050214387,w,,,0.224995,,21.1073,,Pan-STARRS1,2,,MJD,
57329.3284475985,w,,,0.0972679,,21.1979,,Pan-STARRS1,2,,MJD,
57329.3415279538,w,,,0.0770372,,21.0644,,Pan-STARRS1,2,,MJD,
57329.3546382515,w,,,0.0887239,,21.1056,,Pan-STARRS1,2,,MJD,
57329.3678392606,w,,,0.0955214,,21.1022,,Pan-STARRS1,2,,MJD,
