time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57011.5,,,,,,21.8,,,"2,3",,MJD,
57012.5959472252,w,,,0.151359,,21.8415,,Pan-STARRS1,2,,MJD,
57012.6233015779,w,,,0.158902,,21.8556,,Pan-STARRS1,2,,MJD,
57096.2375502459,w,,,0.154076,,21.9568,,Pan-STARRS1,2,,MJD,
57096.2507193299,w,,,0.151575,,21.6994,,Pan-STARRS1,2,,MJD,
57096.2635097703,w,,,0.125124,,21.7269,,Pan-STARRS1,2,,MJD,
57096.2762779533,w,,,0.145157,,21.7802,,Pan-STARRS1,2,,MJD,
57122.3023827324,w,,,0.168953,,22.0162,,Pan-STARRS1,2,,MJD,
57122.3141859258,w,,,0.151894,,21.9327,,Pan-STARRS1,2,,MJD,
57122.3377920413,w,,,0.136417,,21.8824,,Pan-STARRS1,2,,MJD,
57390.4532118244,w,,,0.191408,,21.9899,,Pan-STARRS1,2,,MJD,
57429.2865114226,w,,,0.188396,,21.7987,,Pan-STARRS1,2,,MJD,
57429.3100994649,w,,,0.175358,,21.9842,,Pan-STARRS1,2,,MJD,
57450.258948091,w,,,0.183267,,21.8536,,Pan-STARRS1,2,,MJD,
57450.3224909198,w,,,0.17195,,21.9145,,Pan-STARRS1,2,,MJD,
58134.3913654052,w,,,0.260445,,22.5944,,Pan-STARRS1,2,,MJD,
