time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
56658.5,,,,,,18.5,,,"2,3",,MJD,
56659.6244872619,i,,,0.0830685,,18.5289,,Pan-STARRS1,2,,MJD,
56659.6264978098,i,,,0.0977431,,18.4108,,Pan-STARRS1,2,,MJD,
56668.5562664851,i,,,0.0440302,,18.3868,,Pan-STARRS1,2,,MJD,
56668.55825037,i,,,0.0455929,,18.4645,,Pan-STARRS1,2,,MJD,
56682.4744488825,g,,,0.107774,,19.3649,,Pan-STARRS1,2,,MJD,
56682.4757169606,g,,,0.0768819,,19.5176,,Pan-STARRS1,2,,MJD,
56682.4861584831,g,,,0.118875,,19.4367,,Pan-STARRS1,2,,MJD,
56682.4874341154,g,,,0.0788207,,19.4989,,Pan-STARRS1,2,,MJD,
56682.499249008,r,,,0.0447871,,18.7058,,Pan-STARRS1,2,,MJD,
56682.5107561401,r,,,0.0843321,,18.5867,,Pan-STARRS1,2,,MJD,
56697.5380642279,r,,,0.105891,,18.6997,,Pan-STARRS1,2,,MJD,
56697.5490058331,r,,,0.123431,,18.8437,,Pan-STARRS1,2,,MJD,
