time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57135.390801229,w,,,0.0615668,,20.1455,,Pan-STARRS1,2,,MJD,
57135.4033056308,w,,,0.0647032,,20.1478,,Pan-STARRS1,2,,MJD,
57135.4158283738,w,,,0.0512465,,20.1336,,Pan-STARRS1,2,,MJD,
57135.4283141113,w,,,0.0460367,,20.1199,,Pan-STARRS1,2,,MJD,
57136.4766100115,w,,,0.070839,,20.2127,,Pan-STARRS1,2,,MJD,
57136.4887421849,w,,,0.0725709,,20.1095,,Pan-STARRS1,2,,MJD,
57136.5008646832,w,,,0.0663461,,20.1294,,Pan-STARRS1,2,,MJD,
57136.5129676876,w,,,0.101105,,20.259,,Pan-STARRS1,2,,MJD,
57137.455746151,w,,,0.0752352,,20.2649,,Pan-STARRS1,2,,MJD,
57137.4679682842,w,,,0.049181,,20.1581,,Pan-STARRS1,2,,MJD,
57137.4800730479,w,,,0.057255,,20.3056,,Pan-STARRS1,2,,MJD,
57137.4925867072,w,,,0.0620388,,20.2205,,Pan-STARRS1,2,,MJD,
58195.5549864285,w,,,0.223905,,21.8493,,Pan-STARRS1,2,,MJD,
58610.4381694272,w,,,0.236182,,21.9458,,Pan-STARRS1,2,,MJD,
58667.2804621663,w,,,0.232534,,21.9242,,Pan-STARRS1,2,,MJD,
