time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57164.3764087712,w,,,0.0606559,,20.7867,,Pan-STARRS1,2,,MJD,
57164.3897013729,w,,,0.0704915,,20.8171,,Pan-STARRS1,2,,MJD,
57164.4029561272,w,,,0.0886924,,20.8116,,Pan-STARRS1,2,,MJD,
57164.4161820225,w,,,0.0958297,,20.7397,,Pan-STARRS1,2,,MJD,
57165.3592508928,i,,,0.152898,,20.671,,Pan-STARRS1,2,,MJD,
57166.3575535753,i,,,0.15032,,20.7326,,Pan-STARRS1,2,,MJD,
57166.3705017991,i,,,0.131877,,20.5045,,Pan-STARRS1,2,,MJD,
57166.3835082123,i,,,0.0931336,,20.536,,Pan-STARRS1,2,,MJD,
57166.396527057,i,,,0.123712,,20.7332,,Pan-STARRS1,2,,MJD,
57186.3229627572,w,,,0.183502,,21.6709,,Pan-STARRS1,2,,MJD,
