time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57185.5,,,,,,20.0,,,"2,3",,MJD,
57186.5322320667,w,,,0.0652994,,20.0009,,Pan-STARRS1,2,,MJD,
57186.5435657455,w,,,0.0708265,,20.0358,,Pan-STARRS1,2,,MJD,
57186.5548740257,w,,,0.0774921,,20.1164,,Pan-STARRS1,2,,MJD,
57186.5661718673,w,,,0.0580113,,20.0099,,Pan-STARRS1,2,,MJD,
57188.4791327423,w,,,0.0563663,,20.127,,Pan-STARRS1,2,,MJD,
57188.490384412,w,,,0.048797,,20.0638,,Pan-STARRS1,2,,MJD,
57188.5016218266,w,,,0.046744,,20.0997,,Pan-STARRS1,2,,MJD,
57188.5129041554,w,,,0.0601251,,20.1019,,Pan-STARRS1,2,,MJD,
57193.4987007695,w,,,0.0657633,,20.326,,Pan-STARRS1,2,,MJD,
57193.5100330641,w,,,0.0717312,,20.3034,,Pan-STARRS1,2,,MJD,
57193.5213504685,w,,,0.05847,,20.2952,,Pan-STARRS1,2,,MJD,
57193.5326956752,w,,,0.0998933,,20.2164,,Pan-STARRS1,2,,MJD,
57194.5310432832,w,,,0.168427,,20.2625,,Pan-STARRS1,2,,MJD,
57194.5420409539,w,,,0.183268,,20.2401,,Pan-STARRS1,2,,MJD,
57194.5530410004,w,,,0.197452,,20.2768,,Pan-STARRS1,2,,MJD,
57194.5640505459,w,,,0.106318,,20.154,,Pan-STARRS1,2,,MJD,
57218.4695615781,w,,,0.161594,,21.2748,,Pan-STARRS1,2,,MJD,
57244.3790843914,w,,,0.0996297,,21.7911,,Pan-STARRS1,2,,MJD,
57244.4120205869,w,,,0.0862643,,21.6032,,Pan-STARRS1,2,,MJD,
57245.3404767925,w,,,0.162051,,21.6483,,Pan-STARRS1,2,,MJD,
57245.3514950867,w,,,0.118639,,21.6106,,Pan-STARRS1,2,,MJD,
57245.3624328726,w,,,0.142187,,21.6339,,Pan-STARRS1,2,,MJD,
57271.2920758311,w,,,0.150487,,21.8984,,Pan-STARRS1,2,,MJD,
57271.3033026545,w,,,0.14308,,21.6984,,Pan-STARRS1,2,,MJD,
57271.3253075914,w,,,0.145012,,21.7527,,Pan-STARRS1,2,,MJD,
57298.2270314827,w,,,0.164771,,22.0681,,Pan-STARRS1,2,,MJD,
57298.260033424,w,,,0.159514,,21.9,,Pan-STARRS1,2,,MJD,
