time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57193.3182175151,w,,,0.0932207,,21.6386,,Pan-STARRS1,2,,MJD,
57193.3308548707,w,,,0.0826247,,21.6101,,Pan-STARRS1,2,,MJD,
57193.3435517876,w,,,0.0834845,,21.5734,,Pan-STARRS1,2,,MJD,
57193.3562200521,w,,,0.0800321,,21.4606,,Pan-STARRS1,2,,MJD,
57251.2686539163,w,,,0.228283,,21.4729,,Pan-STARRS1,2,,MJD,
57251.329185843,w,,,0.216259,,21.5478,,Pan-STARRS1,2,,MJD,
57466.6160230744,w,,,0.200601,,21.7069,,Pan-STARRS1,2,,MJD,
57538.490645761,r,,,0.185055,,21.8977,,Pan-STARRS1,2,,MJD,
57542.4785953625,w,,,0.177454,,21.5794,,Pan-STARRS1,2,,MJD,
57574.4132187645,w,,,0.177981,,21.7313,,Pan-STARRS1,2,,MJD,
57903.4915750633,w,,,0.13628,,22.1098,,Pan-STARRS1,2,,MJD,
57903.5038713249,w,,,0.167508,,22.0231,,Pan-STARRS1,2,,MJD,
57929.3461380633,w,,,0.166461,,22.0145,,Pan-STARRS1,2,,MJD,
57929.3716238072,w,,,0.223967,,22.4028,,Pan-STARRS1,2,,MJD,
