time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57225.5,,,,,,20.6,,,"2,3",,MJD,
57226.5118328974,w,,,0.119483,,20.7296,,Pan-STARRS1,2,,MJD,
57226.5239248668,w,,,0.102108,,20.7154,,Pan-STARRS1,2,,MJD,
57226.5361536522,w,,,0.0922054,,20.7016,,Pan-STARRS1,2,,MJD,
57226.5481935491,w,,,0.0673267,,20.6368,,Pan-STARRS1,2,,MJD,
57233.4817289275,i,,,0.0808955,,19.635,,Pan-STARRS1,2,,MJD,
57233.4936725522,i,,,0.0822576,,19.6396,,Pan-STARRS1,2,,MJD,
57233.505445489,i,,,0.0798777,,19.6466,,Pan-STARRS1,2,,MJD,
57233.5174047873,i,,,0.101091,,19.7089,,Pan-STARRS1,2,,MJD,
57274.4324194645,w,,,0.0942537,,21.2752,,Pan-STARRS1,2,,MJD,
57274.4446061532,w,,,0.0719034,,21.187,,Pan-STARRS1,2,,MJD,
57274.4568106295,w,,,0.0763487,,21.2113,,Pan-STARRS1,2,,MJD,
57275.3964376324,w,,,0.0921166,,21.4115,,Pan-STARRS1,2,,MJD,
57277.3979170779,w,,,0.101893,,21.497,,Pan-STARRS1,2,,MJD,
57277.4096814701,w,,,0.0860148,,21.3015,,Pan-STARRS1,2,,MJD,
57277.4214286888,w,,,0.0940861,,21.4753,,Pan-STARRS1,2,,MJD,
