time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57234.5,,,,,,19.0,,,"3,4",,MJD,
57235.5622261228,i,,,0.0680068,,18.9663,,Pan-STARRS1,3,,MJD,
57235.5749272649,i,,,0.0636278,,18.9793,,Pan-STARRS1,3,,MJD,
57235.5868947804,i,,,0.0619258,,18.9334,,Pan-STARRS1,3,,MJD,
57235.5988720568,i,,,0.0481636,,18.9305,,Pan-STARRS1,3,,MJD,
57237.5695853256,i,,,0.0541435,,18.9992,,Pan-STARRS1,3,,MJD,
57237.5815982101,i,,,0.0473419,,18.9592,,Pan-STARRS1,3,,MJD,
57237.5936648455,i,,,0.0507471,,18.9479,,Pan-STARRS1,3,,MJD,
57237.605684532,i,,,0.0518466,,19.0187,,Pan-STARRS1,3,,MJD,
57328.4929861492,i,,,0.164616,,20.513,,Pan-STARRS1,3,,MJD,
57328.5057478939,i,,,0.177814,,20.3591,,Pan-STARRS1,3,,MJD,
57328.5185572148,i,,,0.186128,,20.5988,,Pan-STARRS1,3,,MJD,
57328.531318896,i,,,0.204551,,20.5166,,Pan-STARRS1,3,,MJD,
57332.4821423725,w,,,0.107831,,20.4588,,Pan-STARRS1,3,,MJD,
57332.4949845349,w,,,0.134422,,20.4492,,Pan-STARRS1,3,,MJD,
57332.5205228501,w,,,0.150907,,20.471,,Pan-STARRS1,3,,MJD,
57333.3118540249,w,,,0.122336,,20.3936,,Pan-STARRS1,3,,MJD,
57333.3241738625,w,,,0.0937392,,20.4299,,Pan-STARRS1,3,,MJD,
57333.3364357889,w,,,0.0904453,,20.4285,,Pan-STARRS1,3,,MJD,
57333.3487757012,w,,,0.072797,,20.4537,,Pan-STARRS1,3,,MJD,
57395.2935033194,w,,,0.147151,,21.1218,,Pan-STARRS1,3,,MJD,
57395.3074182673,w,,,0.228981,,21.3824,,Pan-STARRS1,3,,MJD,
57395.3352388506,w,,,0.213349,,21.156,,Pan-STARRS1,3,,MJD,
