time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57275.5,,,,,,17.5,,,"3,4",,MJD,
57276.5060138335,w,,,0.00755353,,17.5338,,Pan-STARRS1,"1,3",,MJD,
57276.5175905078,w,,,0.00708667,,17.5344,,Pan-STARRS1,"1,3",,MJD,
57277.479409629,w,,,0.00718416,,17.5152,,Pan-STARRS1,"1,3",,MJD,
57277.4911961338,w,,,0.00610324,,17.4871,,Pan-STARRS1,"1,3",,MJD,
57277.5029774272,w,,,0.00578439,,17.4759,,Pan-STARRS1,"1,3",,MJD,
57277.5147681679,w,,,0.00564713,,17.4588,,Pan-STARRS1,"1,3",,MJD,
57311.3789958372,w,,,0.0072653,,17.7253,,Pan-STARRS1,"1,3",,MJD,
57311.3902422936,w,,,0.00887285,,17.7348,,Pan-STARRS1,"1,3",,MJD,
57313.401005726,w,,,0.0148207,,17.8407,,Pan-STARRS1,"1,3",,MJD,
57313.412180452,w,,,0.0145482,,17.846,,Pan-STARRS1,"1,3",,MJD,
57313.4233582305,w,,,0.015948,,17.8603,,Pan-STARRS1,"1,3",,MJD,
57313.434546086,w,,,0.0149493,,17.8677,,Pan-STARRS1,"1,3",,MJD,
57314.3747015497,w,,,0.0176842,,17.8387,,Pan-STARRS1,"1,3",,MJD,
57314.3861351757,w,,,0.0168336,,17.8234,,Pan-STARRS1,"1,3",,MJD,
57314.3975532744,w,,,0.0106855,,17.7802,,Pan-STARRS1,"1,3",,MJD,
57314.4089947273,w,,,0.00854437,,17.7663,,Pan-STARRS1,"1,3",,MJD,
57316.3979137629,i,,,0.0381882,,17.8283,,Pan-STARRS1,"1,3",,MJD,
57316.4092918866,i,,,0.030205,,17.7492,,Pan-STARRS1,"1,3",,MJD,
57316.4206361212,i,,,0.0412356,,17.7403,,Pan-STARRS1,"1,3",,MJD,
57316.4319461983,i,,,0.0323283,,17.7286,,Pan-STARRS1,"1,3",,MJD,
57328.4078106476,i,,,0.0151287,,17.9406,,Pan-STARRS1,"1,3",,MJD,
57328.4196634562,i,,,0.0122254,,17.9464,,Pan-STARRS1,"1,3",,MJD,
57328.4314791225,i,,,0.0150429,,17.9435,,Pan-STARRS1,"1,3",,MJD,
57328.4432779089,i,,,0.0147912,,17.9357,,Pan-STARRS1,"1,3",,MJD,
57329.3180113081,w,,,0.0110862,,18.1128,,Pan-STARRS1,"1,3",,MJD,
57329.3310788949,w,,,0.0141152,,18.1409,,Pan-STARRS1,"1,3",,MJD,
57329.3441767548,w,,,0.0137812,,18.1433,,Pan-STARRS1,"1,3",,MJD,
57329.3573203219,w,,,0.0135711,,18.1176,,Pan-STARRS1,"1,3",,MJD,
57354.311647212,i,,,0.104988,,19.0317,,Pan-STARRS1,"1,3",,MJD,
57354.3232167135,i,,,0.0801446,,18.9889,,Pan-STARRS1,"1,3",,MJD,
57354.3347496701,i,,,0.0971034,,19.1,,Pan-STARRS1,"1,3",,MJD,
57354.3462417414,i,,,0.110664,,19.1318,,Pan-STARRS1,"1,3",,MJD,
57363.2574519506,w,,,0.0250062,,19.303,,Pan-STARRS1,"1,3",,MJD,
57363.2693233307,w,,,0.0259633,,19.2945,,Pan-STARRS1,"1,3",,MJD,
57363.2812869847,w,,,0.0280314,,19.3385,,Pan-STARRS1,"1,3",,MJD,
57363.2932137102,w,,,0.0266639,,19.3325,,Pan-STARRS1,"1,3",,MJD,
57388.2306508534,w,,,0.0348587,,19.6638,,Pan-STARRS1,"1,3",,MJD,
57388.2419246514,w,,,0.0286485,,19.5809,,Pan-STARRS1,"1,3",,MJD,
57388.2531154401,w,,,0.0277332,,19.5881,,Pan-STARRS1,"1,3",,MJD,
57388.2642552574,w,,,0.0305297,,19.8117,,Pan-STARRS1,"1,3",,MJD,
57392.209398069,z,,,0.0683605,,19.0694,,Pan-STARRS1,"1,3",,MJD,
