time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57275.4910686339,w,,,0.165919,,21.9526,,Pan-STARRS1,2,,MJD,
57275.5033241006,w,,,0.128249,,21.7899,,Pan-STARRS1,2,,MJD,
57276.4765156628,w,,,0.109757,,21.809,,Pan-STARRS1,2,,MJD,
57276.4885794233,w,,,0.116492,,21.8162,,Pan-STARRS1,2,,MJD,
57276.5022351546,w,,,0.139018,,21.9512,,Pan-STARRS1,2,,MJD,
57989.560076252,w,,,0.166085,,22.2992,,Pan-STARRS1,2,,MJD,
58011.4555902638,w,,,0.161425,,22.2868,,Pan-STARRS1,2,,MJD,
58011.4677113789,w,,,0.125186,,22.1641,,Pan-STARRS1,2,,MJD,
58011.4798647934,w,,,0.182023,,22.4826,,Pan-STARRS1,2,,MJD,
58011.4920698405,w,,,0.159575,,22.2574,,Pan-STARRS1,2,,MJD,
