time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57300.2279662598,w,,,0.149088,,19.973,,Pan-STARRS1,2,,MJD,
57300.2382838778,w,,,0.100794,,19.7379,,Pan-STARRS1,2,,MJD,
57300.2486146655,w,,,0.120081,,19.8946,,Pan-STARRS1,2,,MJD,
57300.2589445867,w,,,0.0788392,,19.8274,,Pan-STARRS1,2,,MJD,
57310.219040242,w,,,0.0743861,,20.5226,,Pan-STARRS1,2,,MJD,
57310.2296218882,w,,,0.0598747,,20.5339,,Pan-STARRS1,2,,MJD,
57310.240199779,w,,,0.0635473,,20.4876,,Pan-STARRS1,2,,MJD,
57311.2189712049,w,,,0.055966,,20.5329,,Pan-STARRS1,2,,MJD,
57311.2297624954,w,,,0.0517019,,20.5558,,Pan-STARRS1,2,,MJD,
57311.2405322356,w,,,0.0582798,,20.6377,,Pan-STARRS1,2,,MJD,
57311.2513438185,w,,,0.0560668,,20.6054,,Pan-STARRS1,2,,MJD,
