time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57307.4317440861,w,,,0.0141587,,18.128,,Pan-STARRS1,2,,MJD,
57307.4439882316,w,,,0.0125495,,18.0491,,Pan-STARRS1,2,,MJD,
57307.4562471775,w,,,0.0148469,,18.079,,Pan-STARRS1,2,,MJD,
57307.4685598929,w,,,0.0166269,,18.0451,,Pan-STARRS1,2,,MJD,
57332.4317734308,w,,,0.0356746,,18.7626,,Pan-STARRS1,2,,MJD,
57332.4435636321,w,,,0.0253468,,18.7437,,Pan-STARRS1,2,,MJD,
57332.455353994,w,,,0.0251289,,18.7453,,Pan-STARRS1,2,,MJD,
57332.4671526975,w,,,0.0202482,,18.7396,,Pan-STARRS1,2,,MJD,
57354.3644119473,i,,,0.0823697,,18.7877,,Pan-STARRS1,2,,MJD,
57354.3763728311,i,,,0.107755,,18.7215,,Pan-STARRS1,2,,MJD,
57354.3883662149,i,,,0.0895654,,18.8202,,Pan-STARRS1,2,,MJD,
57354.4003107179,i,,,0.0852002,,18.7674,,Pan-STARRS1,2,,MJD,
57364.3086184473,w,,,0.0251291,,19.1713,,Pan-STARRS1,2,,MJD,
57364.3198187618,w,,,0.0287387,,19.1491,,Pan-STARRS1,2,,MJD,
57364.3310413906,w,,,0.0243385,,19.1159,,Pan-STARRS1,2,,MJD,
57364.3422918334,w,,,0.0277937,,19.1721,,Pan-STARRS1,2,,MJD,
57391.2462191408,w,,,0.0656333,,20.67,,Pan-STARRS1,2,,MJD,
57391.2590745179,w,,,0.0689073,,20.6899,,Pan-STARRS1,2,,MJD,
57391.2719103666,w,,,0.0611033,,20.639,,Pan-STARRS1,2,,MJD,
57391.2847377323,w,,,0.0789091,,20.8025,,Pan-STARRS1,2,,MJD,
57401.2247299464,w,,,0.083818,,20.8611,,Pan-STARRS1,2,,MJD,
57401.237082305,w,,,0.101298,,20.8993,,Pan-STARRS1,2,,MJD,
57401.2494413153,w,,,0.22014,,20.8958,,Pan-STARRS1,2,,MJD,
57401.2618293048,w,,,0.136366,,20.826,,Pan-STARRS1,2,,MJD,
