time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57380.5764199421,i,,,0.111538,,19.1073,,Pan-STARRS1,4,,MJD,
57380.5896696736,i,,,0.0528795,,19.0535,,Pan-STARRS1,4,,MJD,
57380.6029343464,i,,,0.0764537,,19.1122,,Pan-STARRS1,4,,MJD,
57380.6162251831,i,,,0.0659466,,19.044,,Pan-STARRS1,4,,MJD,
57390.5658126417,r,,,0.0332086,,19.2671,,Pan-STARRS1,4,,MJD,
57390.5784847861,r,,,0.0307615,,19.2462,,Pan-STARRS1,4,,MJD,
57390.5913838437,r,,,0.0328913,,19.2906,,Pan-STARRS1,4,,MJD,
57390.6036522379,r,,,0.0267232,,19.2586,,Pan-STARRS1,4,,MJD,
57398.5650150533,w,,,0.0157455,,19.393,,Pan-STARRS1,4,,MJD,
57398.5784498955,w,,,0.0153858,,19.3926,,Pan-STARRS1,4,,MJD,
57398.5918011544,w,,,0.0164596,,19.3563,,Pan-STARRS1,4,,MJD,
57398.6051612237,w,,,0.0164579,,19.3987,,Pan-STARRS1,4,,MJD,
57399.5258342033,w,,,0.0158645,,19.4143,,Pan-STARRS1,4,,MJD,
57399.5379808828,w,,,0.0175084,,19.434,,Pan-STARRS1,4,,MJD,
57399.5500469111,w,,,0.0176852,,19.4335,,Pan-STARRS1,4,,MJD,
57399.5621317751,w,,,0.0163668,,19.4525,,Pan-STARRS1,4,,MJD,
57404.519689137,w,,,0.0171576,,19.4315,,Pan-STARRS1,4,,MJD,
57404.5329882442,w,,,0.0181648,,19.4541,,Pan-STARRS1,4,,MJD,
57404.5463325727,w,,,0.0206145,,19.4641,,Pan-STARRS1,4,,MJD,
57404.5596118955,w,,,0.016758,,19.4383,,Pan-STARRS1,4,,MJD,
57419.4426664127,r,,,0.101064,,19.5427,,Pan-STARRS1,4,,MJD,
57419.4537236677,r,,,0.157902,,19.5915,,Pan-STARRS1,4,,MJD,
57419.464905203,r,,,0.144966,,19.4449,,Pan-STARRS1,4,,MJD,
57419.4760191934,r,,,0.124464,,19.5168,,Pan-STARRS1,4,,MJD,
57434.4703333731,r,,,0.15905,,19.6449,,Pan-STARRS1,4,,MJD,
57434.5195087482,r,,,0.140498,,19.6563,,Pan-STARRS1,4,,MJD,
57445.40549606,r,,,0.0815998,,19.8617,,Pan-STARRS1,4,,MJD,
57445.417914866,r,,,0.0756848,,19.8177,,Pan-STARRS1,4,,MJD,
57445.4302483843,r,,,0.0719975,,19.9608,,Pan-STARRS1,4,,MJD,
57445.4427223733,r,,,0.0623704,,19.887,,Pan-STARRS1,4,,MJD,
57460.3813390016,w,,,0.0250185,,20.2228,,Pan-STARRS1,4,,MJD,
57460.3924885555,w,,,0.0253699,,20.1598,,Pan-STARRS1,4,,MJD,
57460.4036111203,w,,,0.0261372,,20.1197,,Pan-STARRS1,4,,MJD,
57460.4147533503,w,,,0.0253823,,20.144,,Pan-STARRS1,4,,MJD,
57461.3570565172,r,,,0.0707307,,20.0028,,Pan-STARRS1,4,,MJD,
57461.369347334,r,,,0.0595902,,20.1522,,Pan-STARRS1,4,,MJD,
57461.3817805807,r,,,0.0628545,,20.0526,,Pan-STARRS1,4,,MJD,
57461.3944085812,r,,,0.0787194,,20.1416,,Pan-STARRS1,4,,MJD,
57477.3551307334,w,,,0.0466632,,20.3898,,Pan-STARRS1,4,,MJD,
57477.3675304308,w,,,0.0440306,,20.3787,,Pan-STARRS1,4,,MJD,
57477.3799337461,w,,,0.0385251,,20.3468,,Pan-STARRS1,4,,MJD,
57477.3923225821,w,,,0.0368136,,20.312,,Pan-STARRS1,4,,MJD,
57508.2564625587,w,,,0.0408726,,20.6455,,Pan-STARRS1,4,,MJD,
57508.2676059854,w,,,0.0561006,,20.6966,,Pan-STARRS1,4,,MJD,
57508.2787445373,w,,,0.043855,,20.6262,,Pan-STARRS1,4,,MJD,
57508.2898566257,w,,,0.0515786,,20.7094,,Pan-STARRS1,4,,MJD,
