time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57310.455754274,w,,,0.100857,,21.4679,,Pan-STARRS1,2,,MJD,
57310.4698550949,w,,,0.104201,,21.3635,,Pan-STARRS1,2,,MJD,
57310.4839897873,w,,,0.0860905,,21.3643,,Pan-STARRS1,2,,MJD,
57334.398371648,w,,,0.212143,,20.7814,,Pan-STARRS1,2,,MJD,
57334.423116745,w,,,0.205754,,20.6627,,Pan-STARRS1,2,,MJD,
57334.4354857765,w,,,0.214528,,20.7019,,Pan-STARRS1,2,,MJD,
57361.355059316,w,,,0.0957455,,20.7085,,Pan-STARRS1,2,,MJD,
57361.3666832432,w,,,0.0764505,,20.6193,,Pan-STARRS1,2,,MJD,
57361.3783515989,w,,,0.0711839,,20.5805,,Pan-STARRS1,2,,MJD,
57361.3899523729,w,,,0.0938177,,20.6189,,Pan-STARRS1,2,,MJD,
57362.29847412,w,,,0.057592,,20.6526,,Pan-STARRS1,2,,MJD,
57362.3096707259,w,,,0.0594155,,20.6159,,Pan-STARRS1,2,,MJD,
57362.3208850031,w,,,0.0631126,,20.6567,,Pan-STARRS1,2,,MJD,
57362.3321229871,w,,,0.0988243,,20.6569,,Pan-STARRS1,2,,MJD,
57390.2656666837,w,,,0.0649591,,20.6271,,Pan-STARRS1,2,,MJD,
57390.2760254214,w,,,0.0565876,,20.6162,,Pan-STARRS1,2,,MJD,
57390.2863478573,w,,,0.0881252,,20.6949,,Pan-STARRS1,2,,MJD,
57390.2966761965,w,,,0.135808,,20.7921,,Pan-STARRS1,2,,MJD,
