time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57334.5418461202,w,,,0.097037,,19.5595,,Pan-STARRS1,2,,MJD,
57334.5526160811,w,,,0.0849766,,19.5836,,Pan-STARRS1,2,,MJD,
57334.563379467,w,,,0.0715354,,19.5537,,Pan-STARRS1,2,,MJD,
57334.5741771204,w,,,0.0892196,,19.6478,,Pan-STARRS1,2,,MJD,
57358.6182528115,i,,,0.122398,,19.5252,,Pan-STARRS1,2,,MJD,
57358.626454317,i,,,0.109015,,19.5909,,Pan-STARRS1,2,,MJD,
57358.6346362182,i,,,0.135017,,19.6349,,Pan-STARRS1,2,,MJD,
57358.6428697469,i,,,0.106281,,19.5772,,Pan-STARRS1,2,,MJD,
57360.6273317756,r,,,0.0385438,,19.8233,,Pan-STARRS1,2,,MJD,
57360.6340800845,r,,,0.0422996,,19.9007,,Pan-STARRS1,2,,MJD,
57360.6408024556,r,,,0.0391376,,19.8117,,Pan-STARRS1,2,,MJD,
57360.6474273387,r,,,0.0370281,,19.8765,,Pan-STARRS1,2,,MJD,
57394.3604907817,w,,,0.198394,,21.2111,,Pan-STARRS1,2,,MJD,
