time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57360.5,,,,,,20.7,,,"2,3",,MJD,
57361.613250883,r,,,0.0685372,,20.6759,,Pan-STARRS1,2,,MJD,
57361.6224115601,r,,,0.0692315,,20.6437,,Pan-STARRS1,2,,MJD,
57361.6411365233,r,,,0.12081,,21.0058,,Pan-STARRS1,2,,MJD,
57387.4796064315,r,,,0.0948554,,20.9592,,Pan-STARRS1,2,,MJD,
57387.4901082033,r,,,0.0960198,,20.8028,,Pan-STARRS1,2,,MJD,
57388.4464243697,r,,,0.114456,,20.9035,,Pan-STARRS1,2,,MJD,
57388.4582566028,r,,,0.120258,,20.7864,,Pan-STARRS1,2,,MJD,
57388.4701253875,r,,,0.122448,,20.7347,,Pan-STARRS1,2,,MJD,
57403.4157488368,r,,,0.12889,,20.8768,,Pan-STARRS1,2,,MJD,
57403.4270223317,r,,,0.116108,,20.9248,,Pan-STARRS1,2,,MJD,
57403.4387162649,r,,,0.185023,,21.1067,,Pan-STARRS1,2,,MJD,
57408.3907231014,i,,,0.206576,,20.5318,,Pan-STARRS1,2,,MJD,
57422.3877969696,w,,,0.186358,,21.1873,,Pan-STARRS1,2,,MJD,
57422.411281851,w,,,0.131256,,21.1169,,Pan-STARRS1,2,,MJD,
57422.4230447774,w,,,0.0839864,,21.0293,,Pan-STARRS1,2,,MJD,
