time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57364.3079774742,w,,,0.0391848,,19.7384,,Pan-STARRS1,2,,MJD,
57364.3191747749,w,,,0.0452903,,19.7276,,Pan-STARRS1,2,,MJD,
57364.3303877437,w,,,0.0518369,,19.7101,,Pan-STARRS1,2,,MJD,
57364.3416358768,w,,,0.0479355,,19.7087,,Pan-STARRS1,2,,MJD,
57381.2828769279,i,,,0.134471,,19.1566,,Pan-STARRS1,2,,MJD,
57381.2955163201,i,,,0.175849,,19.0949,,Pan-STARRS1,2,,MJD,
57381.3342179883,i,,,0.179464,,18.9608,,Pan-STARRS1,2,,MJD,
57381.3467368422,i,,,0.118607,,18.9932,,Pan-STARRS1,2,,MJD,
57386.2079397547,z,,,0.0984906,,19.5863,,Pan-STARRS1,2,,MJD,
57391.2468787733,w,,,0.022077,,19.2512,,Pan-STARRS1,2,,MJD,
57391.259750674,w,,,0.0244233,,19.2999,,Pan-STARRS1,2,,MJD,
57391.272577675,w,,,0.0225562,,19.2935,,Pan-STARRS1,2,,MJD,
57391.2854068134,w,,,0.027218,,19.3188,,Pan-STARRS1,2,,MJD,
57408.2282764553,i,,,0.0730476,,19.5592,,Pan-STARRS1,2,,MJD,
57408.241757744,i,,,0.0912273,,19.6124,,Pan-STARRS1,2,,MJD,
57408.2553149457,i,,,0.137709,,19.6456,,Pan-STARRS1,2,,MJD,
