time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57069.4026903565,w,,,0.0386916,,19.7584,,Pan-STARRS1,2,,MJD,
57069.4141421245,w,,,0.0420615,,19.7797,,Pan-STARRS1,2,,MJD,
57069.4255557493,w,,,0.0312845,,19.7888,,Pan-STARRS1,2,,MJD,
57069.437025106,w,,,0.0369676,,19.7772,,Pan-STARRS1,2,,MJD,
57070.5356040277,w,,,0.0508739,,19.851,,Pan-STARRS1,2,,MJD,
57070.5472925939,w,,,0.0490269,,19.8472,,Pan-STARRS1,2,,MJD,
57070.5591012649,w,,,0.0327754,,19.7932,,Pan-STARRS1,2,,MJD,
57070.5709675354,w,,,0.0331615,,19.8644,,Pan-STARRS1,2,,MJD,
57106.4914844808,w,,,0.116522,,21.627,,Pan-STARRS1,2,,MJD,
57106.5030097867,w,,,0.124613,,21.5844,,Pan-STARRS1,2,,MJD,
57106.5144805893,w,,,0.140362,,21.6477,,Pan-STARRS1,2,,MJD,
57106.5259565157,w,,,0.140328,,21.566,,Pan-STARRS1,2,,MJD,
