time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57063.5,,,,,,17.6,,,"3,5",,MJD,
57078.4238310529,i,,,0.0489592,,18.3897,,Pan-STARRS1,4,,MJD,
57078.423831053,i,,,0.0433653,,18.378,,Pan-STARRS1,4,,MJD,
57078.423831053,i,,,0.0457104,,18.3885,,Pan-STARRS1,4,,MJD,
57078.423831053,i,,,0.0469912,,18.3914,,Pan-STARRS1,4,,MJD,
57078.4342963354,i,,,0.0668811,,18.405,,Pan-STARRS1,4,,MJD,
57078.4342963354,i,,,0.0651194,,18.4093,,Pan-STARRS1,4,,MJD,
57078.4342963354,i,,,0.0688139,,18.4129,,Pan-STARRS1,4,,MJD,
57078.4342963354,i,,,0.0656093,,18.4266,,Pan-STARRS1,4,,MJD,
57078.4447139731,i,,,0.0693717,,18.4331,,Pan-STARRS1,4,,MJD,
57078.4447139731,i,,,0.0701873,,18.4334,,Pan-STARRS1,4,,MJD,
57078.4447139731,i,,,0.0729977,,18.4339,,Pan-STARRS1,4,,MJD,
57078.4447139731,i,,,0.0714874,,18.444,,Pan-STARRS1,4,,MJD,
57078.4551300312,i,,,0.0596676,,18.3732,,Pan-STARRS1,4,,MJD,
57078.4551300312,i,,,0.0612246,,18.3791,,Pan-STARRS1,4,,MJD,
57078.4551300312,i,,,0.0645262,,18.3816,,Pan-STARRS1,4,,MJD,
57078.4551300312,i,,,0.0614439,,18.388,,Pan-STARRS1,4,,MJD,
57406.544181725,i,,,0.0499895,,18.7926,,Pan-STARRS1,4,,MJD,
57406.544181725,i,,,0.0467466,,18.8055,,Pan-STARRS1,4,,MJD,
57406.544181725,i,,,0.0472243,,18.8129,,Pan-STARRS1,4,,MJD,
57406.5545270968,i,,,0.0468397,,18.8317,,Pan-STARRS1,4,,MJD,
57406.5545270968,i,,,0.0444961,,18.8397,,Pan-STARRS1,4,,MJD,
57406.5545270968,i,,,0.0432864,,18.8471,,Pan-STARRS1,4,,MJD,
57406.5648460794,i,,,0.067553,,18.8152,,Pan-STARRS1,4,,MJD,
57406.5648460794,i,,,0.0599795,,18.8309,,Pan-STARRS1,4,,MJD,
57406.5648460794,i,,,0.0604085,,18.8363,,Pan-STARRS1,4,,MJD,
57406.5751865208,i,,,0.0603766,,18.7866,,Pan-STARRS1,4,,MJD,
57406.5751865208,i,,,0.057903,,18.8078,,Pan-STARRS1,4,,MJD,
57406.5751865208,i,,,0.0575167,,18.8171,,Pan-STARRS1,4,,MJD,
57502.2584884461,i,,,0.0843615,,18.8163,,Pan-STARRS1,4,,MJD,
57502.2584884461,i,,,0.0867057,,18.8239,,Pan-STARRS1,4,,MJD,
57502.2584884461,i,,,0.0878664,,18.8325,,Pan-STARRS1,4,,MJD,
57502.2684515904,i,,,0.0677221,,18.8142,,Pan-STARRS1,4,,MJD,
57502.2684515904,i,,,0.0664428,,18.8384,,Pan-STARRS1,4,,MJD,
57502.2684515904,i,,,0.0678157,,18.8451,,Pan-STARRS1,4,,MJD,
57502.2784155464,i,,,0.103805,,18.8653,,Pan-STARRS1,4,,MJD,
57502.2784155464,i,,,0.110016,,18.8706,,Pan-STARRS1,4,,MJD,
57502.2784155464,i,,,0.110899,,18.8909,,Pan-STARRS1,4,,MJD,
57502.2883724169,i,,,0.138571,,18.7566,,Pan-STARRS1,4,,MJD,
57502.2883724169,i,,,0.141032,,18.7721,,Pan-STARRS1,4,,MJD,
57502.2883724169,i,,,0.142013,,18.7851,,Pan-STARRS1,4,,MJD,
