time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57080.4623763714,r,,,0.0948243,,19.3508,,Pan-STARRS1,2,,MJD,
57080.4738132967,r,,,0.1088,,19.3152,,Pan-STARRS1,2,,MJD,
57080.4852600973,r,,,0.121245,,19.3229,,Pan-STARRS1,2,,MJD,
57106.4388550845,w,,,0.0597786,,19.9173,,Pan-STARRS1,2,,MJD,
57106.4536701928,w,,,0.0787254,,19.9052,,Pan-STARRS1,2,,MJD,
57106.4685890257,w,,,0.0746395,,19.9299,,Pan-STARRS1,2,,MJD,
57106.4836085503,w,,,0.0689424,,19.9333,,Pan-STARRS1,2,,MJD,
57108.4710897879,w,,,0.0634022,,19.9407,,Pan-STARRS1,2,,MJD,
57108.4861964133,w,,,0.0727344,,19.9882,,Pan-STARRS1,2,,MJD,
57108.5042916662,w,,,0.0852677,,20.0122,,Pan-STARRS1,2,,MJD,
57108.51938927,w,,,0.080806,,20.0143,,Pan-STARRS1,2,,MJD,
57127.4826515092,w,,,0.142164,,20.3311,,Pan-STARRS1,2,,MJD,
57127.4978106577,w,,,0.111499,,20.3021,,Pan-STARRS1,2,,MJD,
57128.3495322888,w,,,0.156173,,20.3615,,Pan-STARRS1,2,,MJD,
57128.3640083019,w,,,0.133461,,20.3217,,Pan-STARRS1,2,,MJD,
57128.3785102921,w,,,0.0874543,,20.2692,,Pan-STARRS1,2,,MJD,
57128.3930060522,w,,,0.0897234,,20.2555,,Pan-STARRS1,2,,MJD,
57130.3488947636,w,,,0.0997606,,20.4075,,Pan-STARRS1,2,,MJD,
57130.3634235874,w,,,0.114505,,20.3303,,Pan-STARRS1,2,,MJD,
57130.3779648902,w,,,0.144416,,20.3373,,Pan-STARRS1,2,,MJD,
57130.3927670609,w,,,0.104366,,20.3275,,Pan-STARRS1,2,,MJD,
57162.392329474,w,,,0.137198,,20.9436,,Pan-STARRS1,2,,MJD,
57162.4039103016,w,,,0.224113,,20.8621,,Pan-STARRS1,2,,MJD,
