time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57080.4523573526,r,,,0.162498,,19.8363,,Pan-STARRS1,2,,MJD,
57080.4638201217,r,,,0.108497,,19.6578,,Pan-STARRS1,2,,MJD,
57080.4752481673,r,,,0.136189,,19.7571,,Pan-STARRS1,2,,MJD,
57080.486576538,r,,,0.199473,,19.7488,,Pan-STARRS1,2,,MJD,
57106.4408340525,w,,,0.0406233,,19.8636,,Pan-STARRS1,2,,MJD,
57106.4556386768,w,,,0.0586743,,19.8947,,Pan-STARRS1,2,,MJD,
57106.4705715808,w,,,0.0522327,,19.8738,,Pan-STARRS1,2,,MJD,
57106.4855948408,w,,,0.0340141,,19.846,,Pan-STARRS1,2,,MJD,
57108.4731582054,w,,,0.0623079,,19.896,,Pan-STARRS1,2,,MJD,
57108.4882492152,w,,,0.0749915,,19.9242,,Pan-STARRS1,2,,MJD,
57108.5063378829,w,,,0.0566975,,19.8223,,Pan-STARRS1,2,,MJD,
57108.5214634117,w,,,0.070048,,19.9094,,Pan-STARRS1,2,,MJD,
57125.4230425992,w,,,0.0423186,,19.9961,,Pan-STARRS1,2,,MJD,
57127.4401473356,w,,,0.124025,,20.077,,Pan-STARRS1,2,,MJD,
57127.4552785041,w,,,0.150039,,20.0849,,Pan-STARRS1,2,,MJD,
57127.4847347803,w,,,0.0815961,,20.0571,,Pan-STARRS1,2,,MJD,
57127.4998957849,w,,,0.0804486,,20.08,,Pan-STARRS1,2,,MJD,
57128.3515029756,w,,,0.0792007,,20.0754,,Pan-STARRS1,2,,MJD,
57128.3659860358,w,,,0.0844397,,20.0227,,Pan-STARRS1,2,,MJD,
57128.3804783221,w,,,0.0710286,,20.001,,Pan-STARRS1,2,,MJD,
57128.394995369,w,,,0.0627899,,20.0268,,Pan-STARRS1,2,,MJD,
57130.3508787961,w,,,0.0835661,,20.08,,Pan-STARRS1,2,,MJD,
57130.3653878422,w,,,0.0693617,,20.1172,,Pan-STARRS1,2,,MJD,
57130.3799461774,w,,,0.114997,,20.098,,Pan-STARRS1,2,,MJD,
57130.394753729,w,,,0.0530494,,20.0217,,Pan-STARRS1,2,,MJD,
57157.4253745101,w,,,0.101425,,20.2562,,Pan-STARRS1,2,,MJD,
57157.4374398063,w,,,0.107984,,20.2356,,Pan-STARRS1,2,,MJD,
57157.4495300726,w,,,0.142609,,20.2999,,Pan-STARRS1,2,,MJD,
57157.4617254953,w,,,0.141342,,20.2881,,Pan-STARRS1,2,,MJD,
57160.4245280022,w,,,0.0657231,,20.275,,Pan-STARRS1,2,,MJD,
57160.4368691412,w,,,0.0944504,,20.2315,,Pan-STARRS1,2,,MJD,
57160.4491586922,w,,,0.0840149,,20.278,,Pan-STARRS1,2,,MJD,
57160.4614415808,w,,,0.0620238,,20.23,,Pan-STARRS1,2,,MJD,
57161.3380502556,w,,,0.134043,,20.2076,,Pan-STARRS1,2,,MJD,
57161.3497146532,w,,,0.063297,,20.3277,,Pan-STARRS1,2,,MJD,
57161.3614264321,w,,,0.0757006,,20.279,,Pan-STARRS1,2,,MJD,
57161.373027117,w,,,0.136096,,20.3283,,Pan-STARRS1,2,,MJD,
57162.3962601939,w,,,0.0952553,,20.2125,,Pan-STARRS1,2,,MJD,
57162.4078538538,w,,,0.154186,,20.2985,,Pan-STARRS1,2,,MJD,
57162.4193991017,w,,,0.154056,,20.3626,,Pan-STARRS1,2,,MJD,
57162.4310445906,w,,,0.161986,,20.3081,,Pan-STARRS1,2,,MJD,
57180.2783219052,w,,,0.106885,,20.5307,,Pan-STARRS1,2,,MJD,
57180.2998300446,w,,,0.161976,,20.5252,,Pan-STARRS1,2,,MJD,
57180.3116114758,w,,,0.176983,,20.5929,,Pan-STARRS1,2,,MJD,
57180.3233654955,w,,,0.101682,,20.4863,,Pan-STARRS1,2,,MJD,
57181.2765186117,w,,,0.0636048,,20.4315,,Pan-STARRS1,2,,MJD,
57181.2882382107,w,,,0.0941167,,20.5292,,Pan-STARRS1,2,,MJD,
57181.300002845,w,,,0.117121,,20.48,,Pan-STARRS1,2,,MJD,
57181.3118361141,w,,,0.0775942,,20.4366,,Pan-STARRS1,2,,MJD,
