time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57068.4697277453,w,,,0.157554,,20.6439,,Pan-STARRS1,2,,MJD,
57068.4829343647,w,,,0.176093,,20.6763,,Pan-STARRS1,2,,MJD,
57068.4962286291,w,,,0.163789,,20.6322,,Pan-STARRS1,2,,MJD,
57068.5095457191,w,,,0.208099,,20.6458,,Pan-STARRS1,2,,MJD,
57069.4552523225,w,,,0.0766805,,20.6834,,Pan-STARRS1,2,,MJD,
57069.4682016961,w,,,0.0472212,,20.6726,,Pan-STARRS1,2,,MJD,
57069.4811229004,w,,,0.0528408,,20.6448,,Pan-STARRS1,2,,MJD,
57069.4940561844,w,,,0.0484656,,20.6237,,Pan-STARRS1,2,,MJD,
57071.5305381831,w,,,0.131802,,20.8366,,Pan-STARRS1,2,,MJD,
57071.5430208743,w,,,0.0931813,,20.4953,,Pan-STARRS1,2,,MJD,
57071.5554699398,w,,,0.0816364,,20.6871,,Pan-STARRS1,2,,MJD,
57077.4523757086,w,,,0.0985132,,20.968,,Pan-STARRS1,2,,MJD,
57077.4666452323,w,,,0.0996011,,20.9592,,Pan-STARRS1,2,,MJD,
57077.4809548148,w,,,0.153349,,20.9199,,Pan-STARRS1,2,,MJD,
57078.4727031905,w,,,0.158365,,21.0814,,Pan-STARRS1,2,,MJD,
57078.4866585525,w,,,0.159302,,21.0525,,Pan-STARRS1,2,,MJD,
57078.5006104065,w,,,0.20134,,21.0621,,Pan-STARRS1,2,,MJD,
57078.5145039273,w,,,0.242119,,20.9923,,Pan-STARRS1,2,,MJD,
