time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57097.371808709,w,,,0.07189,,20.8813,,Pan-STARRS1,2,,MJD,
57097.371808709,w,,,0.0745821,,20.9021,,Pan-STARRS1,2,,MJD,
57097.3841447477,w,,,0.0576831,,20.8152,,Pan-STARRS1,2,,MJD,
57097.3841447477,w,,,0.0570116,,20.8325,,Pan-STARRS1,2,,MJD,
57097.3963925922,w,,,0.0611662,,20.9271,,Pan-STARRS1,2,,MJD,
57097.3963925922,w,,,0.0644024,,20.9483,,Pan-STARRS1,2,,MJD,
57097.4086095962,w,,,0.0515126,,20.8928,,Pan-STARRS1,2,,MJD,
57097.4086095962,w,,,0.049929,,20.8982,,Pan-STARRS1,2,,MJD,
57098.3481970894,w,,,0.0609748,,20.8436,,Pan-STARRS1,2,,MJD,
57098.3481970894,w,,,0.061859,,20.8663,,Pan-STARRS1,2,,MJD,
57098.3606272178,w,,,0.0527211,,20.9726,,Pan-STARRS1,2,,MJD,
57098.3606272178,w,,,0.0551348,,20.9846,,Pan-STARRS1,2,,MJD,
57098.3731338279,w,,,0.049716,,20.9033,,Pan-STARRS1,2,,MJD,
57098.3731338279,w,,,0.0511416,,20.9148,,Pan-STARRS1,2,,MJD,
57098.3857124365,w,,,0.0699187,,20.8562,,Pan-STARRS1,2,,MJD,
57098.3857124365,w,,,0.075936,,20.8649,,Pan-STARRS1,2,,MJD,
