time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57105.4318034463,w,,,0.0267284,,18.7726,,Pan-STARRS1,2,,MJD,
57105.4318034463,w,,,0.0254504,,18.7854,,Pan-STARRS1,2,,MJD,
57105.4462643173,w,,,0.0873638,,20.5463,,Pan-STARRS1,2,,MJD,
57105.4462643173,w,,,0.0939196,,20.5574,,Pan-STARRS1,2,,MJD,
58597.3341031613,w,,,0.225774,,22.2068,,Pan-STARRS1,2,,MJD,
58610.255572597,w,,,0.142165,,21.9966,,Pan-STARRS1,2,,MJD,
58610.255572597,w,,,0.156047,,22.1682,,Pan-STARRS1,2,,MJD,
58610.2795214169,w,,,0.106218,,21.7296,,Pan-STARRS1,2,,MJD,
58610.2795214169,w,,,0.116666,,21.8133,,Pan-STARRS1,2,,MJD,
58610.2915067157,w,,,0.207823,,22.2344,,Pan-STARRS1,2,,MJD,
