time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57108.5,,,,,,21.1,,,"2,3",,MJD,
57109.5831447974,w,,,0.118629,,21.7406,,Pan-STARRS1,2,,MJD,
57109.5942280559,w,,,0.098649,,21.484,,Pan-STARRS1,2,,MJD,
57109.6053028448,w,,,0.0515669,,21.1518,,Pan-STARRS1,2,,MJD,
57110.5866291761,w,,,0.0850603,,21.1924,,Pan-STARRS1,2,,MJD,
57110.5976459207,w,,,0.192822,,21.5569,,Pan-STARRS1,2,,MJD,
57110.6086241081,w,,,0.14365,,21.7812,,Pan-STARRS1,2,,MJD,
57110.6196706406,w,,,0.137451,,21.3352,,Pan-STARRS1,2,,MJD,
57160.5210040045,w,,,0.150075,,21.8471,,Pan-STARRS1,2,,MJD,
57160.5315930555,w,,,0.132299,,21.6367,,Pan-STARRS1,2,,MJD,
57160.5421799299,w,,,0.172082,,21.6762,,Pan-STARRS1,2,,MJD,
57160.5527499821,w,,,0.1188,,21.5148,,Pan-STARRS1,2,,MJD,
57161.4257201488,w,,,0.166316,,21.5548,,Pan-STARRS1,2,,MJD,
57161.4470422963,w,,,0.131195,,21.3267,,Pan-STARRS1,2,,MJD,
57161.4577089081,w,,,0.115202,,21.2417,,Pan-STARRS1,2,,MJD,
57209.2892802627,w,,,0.0996884,,21.567,,Pan-STARRS1,2,,MJD,
57209.3204581545,w,,,0.1153,,21.6804,,Pan-STARRS1,2,,MJD,
57544.3824244352,w,,,0.166691,,22.3972,,Pan-STARRS1,2,,MJD,
57568.3923581932,w,,,0.149882,,22.344,,Pan-STARRS1,2,,MJD,
57869.5704401978,w,,,0.163453,,21.7906,,Pan-STARRS1,2,,MJD,
58630.4108185387,w,,,0.267528,,23.0494,,Pan-STARRS1,2,,MJD,
