time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57114.4513173262,i,,,0.101311,,19.032,,Pan-STARRS1,3,,MJD,
57114.4635441201,i,,,0.0795831,,18.9278,,Pan-STARRS1,3,,MJD,
57114.4758180365,i,,,0.0734423,,18.8988,,Pan-STARRS1,3,,MJD,
57114.4881109403,i,,,0.0638598,,18.9251,,Pan-STARRS1,3,,MJD,
57145.3560179793,i,,,0.136033,,19.9795,,Pan-STARRS1,3,,MJD,
57145.36811849,i,,,0.128301,,20.0654,,Pan-STARRS1,3,,MJD,
57145.3801797008,i,,,0.0817401,,19.9825,,Pan-STARRS1,3,,MJD,
57145.3922125754,i,,,0.114482,,20.0579,,Pan-STARRS1,3,,MJD,
57150.346168315,r,,,0.182272,,20.1606,,Pan-STARRS1,3,,MJD,
57150.4190359601,r,,,0.209866,,20.2638,,Pan-STARRS1,3,,MJD,
57178.2698306311,r,,,0.125634,,20.959,,Pan-STARRS1,3,,MJD,
57178.2825688472,r,,,0.137207,,21.0299,,Pan-STARRS1,3,,MJD,
57178.2953760506,r,,,0.125604,,20.8333,,Pan-STARRS1,3,,MJD,
57178.3086119372,r,,,0.143944,,21.0699,,Pan-STARRS1,3,,MJD,
