time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57514.4119907,G,,,,,21.5,,Gaia,4,,MJD,True
57607.455,w,,,0.01,,18.58,,PS1,4,,MJD,
57607.4553767527,w,,,0.0109421,,18.5848,,Pan-STARRS1,2,,MJD,
57607.4560238327,w,,,0.0138684,,18.5727,,Pan-STARRS1,2,,MJD,
57607.4673243539,w,,,0.0110247,,18.5589,,Pan-STARRS1,2,,MJD,
57607.4679650205,w,,,0.0153926,,18.5774,,Pan-STARRS1,2,,MJD,
57653.195,G,,,0.2,,18.56,,Gaia,4,,MJD,
57653.196,G,,,0.0,,18.60,,GAIA,3,,MJD,
57653.270,G,,,0.0,,18.63,,GAIA,3,,MJD,
57670.200,G,,,0.0,,19.58,,GAIA,3,,MJD,
57677.259351469,i,,,0.160908,,19.3428,,Pan-STARRS1,2,,MJD,
57677.2922480679,i,,,0.203821,,19.2826,,Pan-STARRS1,2,,MJD,
57693.2221912086,w,,,0.115086,,20.4274,,Pan-STARRS1,2,,MJD,
57693.2312059212,w,,,0.176587,,20.5434,,Pan-STARRS1,2,,MJD,
57693.2402281221,w,,,0.192143,,20.4612,,Pan-STARRS1,2,,MJD,
57693.2492389098,w,,,0.123352,,20.5353,,Pan-STARRS1,2,,MJD,
