time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
57326.5,,,,,,17.3,,,"2,6",,MJD,
57406.5843585413,w,,,0.0369282,,19.8307,,Pan-STARRS1,"2,5",,MJD,
57406.595694337,w,,,0.0489063,,19.8298,,Pan-STARRS1,"2,5",,MJD,
57406.607039969,w,,,0.0373402,,19.8088,,Pan-STARRS1,"2,5",,MJD,
57406.6183736771,w,,,0.0313124,,19.7767,,Pan-STARRS1,"2,5",,MJD,
57408.5359300189,i,,,0.0999078,,20.0226,,Pan-STARRS1,"2,5",,MJD,
57408.5609158389,i,,,0.0900188,,20.0358,,Pan-STARRS1,"2,5",,MJD,
57408.5733584385,i,,,0.149009,,20.2445,,Pan-STARRS1,"2,5",,MJD,
57420.5128737422,r,,,0.123681,,19.8893,,Pan-STARRS1,"2,5",,MJD,
57420.5253428969,r,,,0.182055,,19.966,,Pan-STARRS1,"2,5",,MJD,
57428.4765346232,w,,,0.0504346,,20.4036,,Pan-STARRS1,"2,5",,MJD,
57428.4876283159,w,,,0.0510232,,20.3791,,Pan-STARRS1,"2,5",,MJD,
57428.498716462,w,,,0.0504963,,20.404,,Pan-STARRS1,"2,5",,MJD,
57428.5098167584,w,,,0.0632406,,20.4542,,Pan-STARRS1,"2,5",,MJD,
57437.4778197521,r,,,0.141697,,20.4962,,Pan-STARRS1,"2,5",,MJD,
