time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
,C,,,1.0,,22,,Catalina Schmidt,2,,,
57584.5,C,,,0.244854770001,,21.8527,,Catalina Schmidt,2,,MJD,
57900.5,C,,,0.122274547043,,20.1248,,Catalina Schmidt,2,,MJD,
57900.5,C,,,0.154449831313,,20.6656,,Catalina Schmidt,2,,MJD,
57900.5,C,,,0.159936555538,,20.7592,,Catalina Schmidt,2,,MJD,
57900.5,C,,,0.180154050592,,21.0345,,Catalina Schmidt,2,,MJD,
57903.5,C,,,0.122274547043,,20.1248,,Catalina Schmidt,2,,MJD,
57903.5,C,,,0.154449831313,,20.6656,,Catalina Schmidt,2,,MJD,
57903.5,C,,,0.159936555538,,20.7592,,Catalina Schmidt,2,,MJD,
57903.5,C,,,0.180154050592,,21.0345,,Catalina Schmidt,2,,MJD,
57908.5,C,,,0.0708233407562,,18.1827,,Catalina Schmidt,2,,MJD,
57908.5,C,,,0.0709724217795,,18.1883,,Catalina Schmidt,2,,MJD,
57908.5,C,,,0.0731113550139,,18.3384,,Catalina Schmidt,2,,MJD,
57908.5,C,,,0.0733830342191,,18.357,,Catalina Schmidt,2,,MJD,
57909.56,i,,,0.05,,18.31,,PS1,4,,MJD,
57909.5600328195,i,,,0.0506308,,18.3141,,Pan-STARRS1,3,,MJD,
57909.5735181529,i,,,0.0408412,,18.3369,,Pan-STARRS1,3,,MJD,
57909.5870810314,i,,,0.0502773,,18.3651,,Pan-STARRS1,3,,MJD,
57909.6006271042,i,,,0.049144,,18.3482,,Pan-STARRS1,3,,MJD,
57926.5,C,,,0.072959016957,,18.2289,,Catalina Schmidt,2,,MJD,
57926.5,C,,,0.0736285824734,,18.2551,,Catalina Schmidt,2,,MJD,
57926.5,C,,,0.0749302075531,,18.3546,,Catalina Schmidt,2,,MJD,
57926.5,C,,,0.0760518081247,,18.4096,,Catalina Schmidt,2,,MJD,
57931.5,C,,,0.077980184718,,18.6202,,Catalina Schmidt,2,,MJD,
57931.5,C,,,0.0781414041844,,18.6267,,Catalina Schmidt,2,,MJD,
57931.5,C,,,0.0783679693979,,18.6458,,Catalina Schmidt,2,,MJD,
57931.5,C,,,0.08100051233,,18.7682,,Catalina Schmidt,2,,MJD,
58024.5,C,,,0.214378717832,,21.8843,,Catalina Schmidt,2,,MJD,
58024.5,C,,,0.261521364345,,22.2829,,Catalina Schmidt,2,,MJD,
58024.5,C,,,0.27177924537,,22.3643,,Catalina Schmidt,2,,MJD,
58050.5,C,,,0.206633145623,,21.5841,,Catalina Schmidt,2,,MJD,
58050.5,C,,,0.208949087378,,21.6011,,Catalina Schmidt,2,,MJD,
58254.5,C,,,0.350675010454,,22.3754,,Catalina Schmidt,2,,MJD,
58283.5,C,,,0.258649405105,,21.5233,,Catalina Schmidt,2,,MJD,
