time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58652.6149643798,z,,,0.286408,,20.9106,,Pan-STARRS1,1,,MJD,
58654.6149050742,z,,,0.141224,,20.842,,Pan-STARRS1,1,,MJD,
58655.6141159021,z,,,0.161741,,20.4026,,Pan-STARRS1,1,,MJD,
58656.614567108,z,,,0.158111,,20.4522,,Pan-STARRS1,1,,MJD,
58659.6147318505,z,,,0.0938146,,20.2868,,Pan-STARRS1,1,,MJD,
58661.5867628529,i,,,0.106923,,19.9435,,Pan-STARRS1,1,,MJD,
58661.5971034281,i,,,0.0805872,,19.9403,,Pan-STARRS1,1,,MJD,
58661.6022804343,i,,,0.0923696,,19.9623,,Pan-STARRS1,1,,MJD,
58661.6135928105,z,,,0.154196,,20.2969,,Pan-STARRS1,1,,MJD,
58663.6140093575,z,,,0.082301,,20.1896,,Pan-STARRS1,1,,MJD,
58664.6148112343,z,,,0.0905913,,20.2848,,Pan-STARRS1,1,,MJD,
58665.6149771585,z,,,0.0795515,,20.4161,,Pan-STARRS1,1,,MJD,
58667.6155819389,z,,,0.121967,,20.4669,,Pan-STARRS1,1,,MJD,
58669.6158820391,z,,,0.123678,,20.5483,,Pan-STARRS1,1,,MJD,
58670.6176435775,z,,,0.107955,,20.5472,,Pan-STARRS1,1,,MJD,
58671.6165849552,z,,,0.191202,,20.4868,,Pan-STARRS1,1,,MJD,
58674.6181898042,z,,,0.16685,,20.9248,,Pan-STARRS1,1,,MJD,
58677.6187710768,z,,,0.186741,,21.0985,,Pan-STARRS1,1,,MJD,
58679.5774749286,z,,,0.143914,,21.2573,,Pan-STARRS1,1,,MJD,
58679.5851425718,z,,,0.17989,,21.3136,,Pan-STARRS1,1,,MJD,
58679.5928548095,z,,,0.143236,,21.1539,,Pan-STARRS1,1,,MJD,
58679.6008414645,z,,,0.187961,,21.2658,,Pan-STARRS1,1,,MJD,
58679.6175308833,z,,,0.173481,,21.3838,,Pan-STARRS1,1,,MJD,
58680.5998553964,z,,,0.164998,,21.2692,,Pan-STARRS1,1,,MJD,
58680.6038590652,z,,,0.216086,,21.6002,,Pan-STARRS1,1,,MJD,
58680.6078514465,z,,,0.169709,,21.3226,,Pan-STARRS1,1,,MJD,
58680.6118495035,z,,,0.178961,,21.3241,,Pan-STARRS1,1,,MJD,
58682.5935213409,z,,,0.274407,,21.1968,,Pan-STARRS1,1,,MJD,
58684.5058070593,i,,,0.263054,,20.6143,,Pan-STARRS1,1,,MJD,
58684.5122866636,i,,,0.220322,,20.7724,,Pan-STARRS1,1,,MJD,
58684.5187382232,i,,,0.18623,,20.635,,Pan-STARRS1,1,,MJD,
58684.5252161096,i,,,0.347978,,20.3992,,Pan-STARRS1,1,,MJD,
