time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58661.5,,,,,,21.5,,,"1,2",,MJD,
58662.5296040125,w,,,0.207069,,21.5071,,Pan-STARRS1,1,,MJD,
58662.5412415257,w,,,0.134708,,21.4005,,Pan-STARRS1,1,,MJD,
58662.5528650936,w,,,0.116088,,21.3154,,Pan-STARRS1,1,,MJD,
58665.5567604941,w,,,0.0620181,,21.3819,,Pan-STARRS1,1,,MJD,
58665.5677269069,w,,,0.0558662,,21.3299,,Pan-STARRS1,1,,MJD,
58665.5787183228,w,,,0.0836673,,21.3664,,Pan-STARRS1,1,,MJD,
58665.5897352143,w,,,0.0704417,,21.3245,,Pan-STARRS1,1,,MJD,
58668.5138163442,w,,,0.122477,,21.5209,,Pan-STARRS1,1,,MJD,
58668.5255428968,w,,,0.110873,,21.4293,,Pan-STARRS1,1,,MJD,
58668.537266179,w,,,0.163357,,21.4418,,Pan-STARRS1,1,,MJD,
58668.5489692921,w,,,0.180349,,21.57,,Pan-STARRS1,1,,MJD,
58674.5205673388,w,,,0.137551,,21.5601,,Pan-STARRS1,1,,MJD,
58674.5315990112,w,,,0.116959,,21.6388,,Pan-STARRS1,1,,MJD,
58674.5426245397,w,,,0.115074,,21.7201,,Pan-STARRS1,1,,MJD,
58674.5536361575,w,,,0.149126,,21.647,,Pan-STARRS1,1,,MJD,
