time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58661.5,,,,,,20.8,,,"1,2",,MJD,
58662.5296040125,w,,,0.119062,,20.7764,,Pan-STARRS1,1,,MJD,
58662.5412415257,w,,,0.0854376,,20.984,,Pan-STARRS1,1,,MJD,
58662.5528650936,w,,,0.0743547,,20.8634,,Pan-STARRS1,1,,MJD,
58665.5561167138,w,,,0.0361665,,21.0024,,Pan-STARRS1,1,,MJD,
58665.5670862007,w,,,0.0377265,,20.9579,,Pan-STARRS1,1,,MJD,
58665.5780735221,w,,,0.0463791,,20.8913,,Pan-STARRS1,1,,MJD,
58665.5890935202,w,,,0.0512064,,20.9168,,Pan-STARRS1,1,,MJD,
58674.5205673388,w,,,0.147527,,21.4824,,Pan-STARRS1,1,,MJD,
58674.5315990112,w,,,0.118219,,21.4964,,Pan-STARRS1,1,,MJD,
58674.5426245397,w,,,0.0991822,,21.4428,,Pan-STARRS1,1,,MJD,
58674.5536361575,w,,,0.118548,,21.4139,,Pan-STARRS1,1,,MJD,
