time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58595.4987101299,i,,,0.019915,,18.1415,,Pan-STARRS1,1,,MJD,
58595.4987101299,i,,,0.0241516,,18.1728,,Pan-STARRS1,1,,MJD,
58595.5073024468,i,,,0.0162559,,18.1249,,Pan-STARRS1,1,,MJD,
58595.5073024468,i,,,0.0192781,,18.1355,,Pan-STARRS1,1,,MJD,
58595.5161017393,i,,,0.0302282,,18.1305,,Pan-STARRS1,1,,MJD,
58595.5161017393,i,,,0.0357698,,18.1646,,Pan-STARRS1,1,,MJD,
58595.5255258434,i,,,0.063631,,18.1691,,Pan-STARRS1,1,,MJD,
58595.5255258434,i,,,0.0581765,,18.1707,,Pan-STARRS1,1,,MJD,
58616.337718965,i,,,0.0690036,,19.5841,,Pan-STARRS1,1,,MJD,
58616.337718965,i,,,0.0696157,,19.6316,,Pan-STARRS1,1,,MJD,
58616.3505447093,i,,,0.104101,,19.625,,Pan-STARRS1,1,,MJD,
58616.3505447093,i,,,0.102415,,19.6324,,Pan-STARRS1,1,,MJD,
58616.3640022247,i,,,0.0952671,,19.4333,,Pan-STARRS1,1,,MJD,
58616.3640022247,i,,,0.0911198,,19.4564,,Pan-STARRS1,1,,MJD,
58616.3775794962,i,,,0.180066,,19.829,,Pan-STARRS1,1,,MJD,
58616.3775794962,i,,,0.188796,,19.8559,,Pan-STARRS1,1,,MJD,
58628.5024270421,i,,,0.182774,,20.2479,,Pan-STARRS1,1,,MJD,
58628.5024270421,i,,,0.207912,,20.3317,,Pan-STARRS1,1,,MJD,
58628.5134974966,i,,,0.177638,,20.0987,,Pan-STARRS1,1,,MJD,
58628.5134974966,i,,,0.207965,,20.2032,,Pan-STARRS1,1,,MJD,
58628.5245742379,i,,,0.28725,,20.2339,,Pan-STARRS1,1,,MJD,
58628.5356661705,i,,,0.312943,,20.2483,,Pan-STARRS1,1,,MJD,
58643.362741184,i,,,0.124297,,20.7501,,Pan-STARRS1,1,,MJD,
58643.362741184,i,,,0.132317,,20.7573,,Pan-STARRS1,1,,MJD,
58643.3720474146,i,,,0.155979,,20.9071,,Pan-STARRS1,1,,MJD,
58643.3812582707,i,,,0.155872,,20.8419,,Pan-STARRS1,1,,MJD,
58643.3812582707,i,,,0.158362,,20.876,,Pan-STARRS1,1,,MJD,
58643.3904208812,i,,,0.235759,,21.1098,,Pan-STARRS1,1,,MJD,
58643.3904208812,i,,,0.246936,,21.1307,,Pan-STARRS1,1,,MJD,
58648.3888706433,i,,,0.216972,,21.0086,,Pan-STARRS1,1,,MJD,
58648.4003755503,i,,,0.264673,,21.0358,,Pan-STARRS1,1,,MJD,
