time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
58673.5,,,,,,20.4,,,"1,2",,MJD,
58674.5722116156,w,,,0.0426647,,20.4434,,Pan-STARRS1,1,,MJD,
58674.5829971651,w,,,0.0401477,,20.4742,,Pan-STARRS1,1,,MJD,
58674.5937717664,w,,,0.0394459,,20.5,,Pan-STARRS1,1,,MJD,
58674.6045639659,w,,,0.0484949,,20.4268,,Pan-STARRS1,1,,MJD,
58675.5792382659,w,,,0.113364,,20.4574,,Pan-STARRS1,1,,MJD,
58677.5677245441,w,,,0.075058,,20.6423,,Pan-STARRS1,1,,MJD,
58677.5796654391,w,,,0.0775361,,20.6886,,Pan-STARRS1,1,,MJD,
58677.5916053463,w,,,0.152084,,20.7437,,Pan-STARRS1,1,,MJD,
58677.6035396615,w,,,0.0874447,,20.7058,,Pan-STARRS1,1,,MJD,
