time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
54940.5,i,,,,,22.1328,,PS1,1,,MJD,True
54947.6,i,,,,,22.12119,,PS1,1,,MJD,True
54950.5,r,,,,,22.59829,,PS1,1,,MJD,True
54950.6,i,,,,,22.35034,,PS1,1,,MJD,True
54952.6,i,,,,,22.5286,,PS1,1,,MJD,True
54953.5,i,,,,,22.2497,,PS1,1,,MJD,True
54956.4,z,,,,,22.26518,,PS1,1,,MJD,True
54957.5,z,,,,,21.8405,,PS1,1,,MJD,True
54979.5,g,,,,,23.602,,PS1,1,,MJD,True
54982.4,g,,,,,23.467,,PS1,1,,MJD,True
54984.4,i,,,,,22.61826,,PS1,1,,MJD,True
54985.4,i,,,,,22.9723,,PS1,1,,MJD,True
54986.4,z,,,,,21.4188,,PS1,1,,MJD,True
54989.3,z,,,,,22.06176,,PS1,1,,MJD,True
54994.3,i,,,,,23.0276,,PS1,1,,MJD,True
54995.4,z,,,,,22.01663,,PS1,1,,MJD,True
54996.4,g,,,,,23.526,,PS1,1,,MJD,True
54998.4,z,,,,,22.09142,,PS1,1,,MJD,True
54999.4,g,,,,,23.497,,PS1,1,,MJD,True
54999.4,r,,,,,23.40365,,PS1,1,,MJD,True
55000.3,i,,,,,22.56280,,PS1,1,,MJD,True
55002.4,g,,,,,23.10651,,PS1,1,,MJD,True
55002.4,r,,,,,23.23566,,PS1,1,,MJD,True
55004.4,z,,,,,21.6058,,PS1,1,,MJD,True
55007.3,z,,,,,21.8290,,PS1,1,,MJD,True
55012.3,i,,,,,22.6988,,PS1,1,,MJD,True
55013.3,z,,,,,22.1036,,PS1,1,,MJD,True
55014.3,g,,,,,22.69358,,PS1,1,,MJD,True
55014.3,r,,,,,22.8404,,PS1,1,,MJD,True
55015.3,i,,,,,22.18915,,PS1,1,,MJD,True
55016.3,z,,,,,21.79381,,PS1,1,,MJD,True
55027.3,i,,,,,21.63168,,PS1,1,,MJD,True
55029.3,g,,,,,22.0330,,PS1,1,,MJD,True
55029.3,r,,,,,22.37696,,PS1,1,,MJD,True
55034.3,z,,,,,21.349334,,PS1,1,,MJD,True
55210.7,i,,,,,22.22340,,PS1,1,,MJD,True
55213.6,i,,,,,22.5059,,PS1,1,,MJD,True
55214.6,z,,,,,22.11432,,PS1,1,,MJD,True
55220.7,z,,,,,21.30310,,PS1,1,,MJD,True
55222.6,i,,,,,22.8461,,PS1,1,,MJD,True
55223.7,z,,,,,21.9696,,PS1,1,,MJD,True
