time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55169.564,R,,,,,20.406,,P48,2,,MJD,True
55181.500,R,,,,,21.68,,P48,2,,MJD,True
55181.544,R,,,,,21.643,,P48,2,,MJD,True
55185.507,R,,,,,20.429,,P48,2,,MJD,True
55185.551,R,,,,,21.462,,P48,2,,MJD,True
55197.563,R,,,,,18.6497,,P48,2,,MJD,
55198.443,R,,,,,18.6139,,P48,2,,MJD,
55198.488,R,,,,,18.6632,,P48,2,,MJD,
55201.455,R,,,,,18.2461,,P48,2,,MJD,
55201.498,R,,,,,18.3337,,P48,2,,MJD,
55203.345,R,,,,,18.3048,,P48,2,,MJD,
55203.390,R,,,,,18.5175,,P48,2,,MJD,
55206.572,R,,,,,18.3390,,P48,2,,MJD,
55207.343,R,,,,,18.4486,,P48,2,,MJD,
55207.388,R,,,,,18.3395,,P48,2,,MJD,
55209.507,R,,,,,18.5076,,P48,2,,MJD,
55209.553,R,,,,,18.5742,,P48,2,,MJD,
55213.416,R,,,,,19.1691,,P48,2,,MJD,
55213.460,R,,,,,18.6743,,P48,2,,MJD,
55221.452,R,,,,,19.0620,,P48,2,,MJD,
55221.497,R,,,,,19.1414,,P48,2,,MJD,
55227.327,R,,,,,20.090,,P48,2,,MJD,
55227.370,R,,,,,19.716,,P48,2,,MJD,
55243.445,R,,,,,20.729,,P48,2,,MJD,
55243.490,R,,,,,20.517,,P48,2,,MJD,
55246.233,R,,,,,20.693,,P48,2,,MJD,
55246.382,R,,,,,20.354,,P48,2,,MJD,
55246.435,R,,,,,20.490,,P48,2,,MJD,
55250.495,R,,,,,20.459,,P48,2,,MJD,
55250.539,R,,,,,20.410,,P48,2,,MJD,
55253.401,R,,,,,20.062,,P48,2,,MJD,
55253.444,R,,,,,19.0374,,P48,2,,MJD,True
