time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55279.513,R,,,,,21.708,,P48,2,,MJD,True
55280.217,R,,,,,20.224,,P48,2,,MJD,True
55280.260,R,,,,,20.808,,P48,2,,MJD,True
55293.485,R,,,,,21.45,,P48,2,,MJD,True
55312.436,R,,,,,19.2405,,P48,2,,MJD,
55312.479,R,,,,,19.3492,,P48,2,,MJD,
55318.251,R,,,,,19.2836,,P48,2,,MJD,
55318.295,R,,,,,19.2268,,P48,2,,MJD,
55323.248,R,,,,,19.3907,,P48,2,,MJD,
55323.291,R,,,,,19.4250,,P48,2,,MJD,
55330.347,R,,,,,19.857,,P48,2,,MJD,
55330.403,R,,,,,19.784,,P48,2,,MJD,
55336.471,R,,,,,20.257,,P48,2,,MJD,
55337.425,R,,,,,20.160,,P48,2,,MJD,
55337.473,R,,,,,20.374,,P48,2,,MJD,
55345.386,R,,,,,20.176,,P48,2,,MJD,
55345.430,R,,,,,20.294,,P48,2,,MJD,True
55350.384,R,,,,,20.857,,P48,2,,MJD,
55350.426,R,,,,,20.835,,P48,2,,MJD,
55355.391,R,,,,,20.688,,P48,2,,MJD,
55355.442,R,,,,,20.731,,P48,2,,MJD,
55361.343,R,,,,,21.034,,P48,2,,MJD,
55361.389,R,,,,,21.095,,P48,2,,MJD,
55366.384,R,,,,,21.304,,P48,2,,MJD,
55366.427,R,,,,,20.932,,P48,2,,MJD,
55373.293,R,,,,,20.929,,P48,2,,MJD,True
55373.343,R,,,,,20.836,,P48,2,,MJD,True
55378.294,R,,,,,21.120,,P48,2,,MJD,
55378.344,R,,,,,21.017,,P48,2,,MJD,
55383.296,R,,,,,21.582,,P48,2,,MJD,
55383.339,R,,,,,21.481,,P48,2,,MJD,
