time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55272.46,R,,,,,21.09,,PTF48,1,,MJD,True
55273.392,R,,,,,21.52,,PTF48,1,,MJD,True
55273.435,R,,,,,21.52,,PTF48,1,,MJD,True
55294.489,R,,,,,20.64,,PTF48,1,,MJD,True
55312.275,R,,,,,20.61,,PTF48,1,,MJD,True
55312.319,R,,,,,20.61,,PTF48,1,,MJD,True
55318.346,R,,,,,20.91,,PTF48,1,,MJD,True
55318.39,R,,,,,20.88,,PTF48,1,,MJD,True
55323.347,R,,,0.04,,18.8,,PTF48,1,,MJD,
55323.39,R,,,0.04,,18.76,,PTF48,1,,MJD,
55324.16,r,,,0.04,,18.69,,PTF60,1,,MJD,
55329.266,R,,,0.04,,18.29,,PTF48,1,,MJD,
55329.31,R,,,0.09,,18.19,,PTF48,1,,MJD,
55337.17,R,,,0.03,,18.29,,PTF48,1,,MJD,
55337.214,R,,,0.03,,18.24,,PTF48,1,,MJD,
55338.267,R,,,0.05,,18.31,,PTF48,1,,MJD,
55338.311,R,,,0.04,,18.26,,PTF48,1,,MJD,
55343.328,R,,,0.04,,18.25,,PTF48,1,,MJD,
55348.298,R,,,0.03,,18.3,,PTF48,1,,MJD,
55348.342,R,,,0.03,,18.34,,PTF48,1,,MJD,
55353.296,R,,,0.03,,18.41,,PTF48,1,,MJD,
55353.347,R,,,0.03,,18.46,,PTF48,1,,MJD,
55505.51,r,,,,,21.8,,PTF60,1,,MJD,True
55505.513,r,,,,,21.88,,PTF60,1,,MJD,True
55507.506,r,,,,,21.44,,PTF60,1,,MJD,True
55513.498,r,,,,,21.04,,PTF60,1,,MJD,True
55516.502,r,,,,,21.92,,PTF60,1,,MJD,True
55519.547,r,,,,,21.8,,PTF60,1,,MJD,True
55525.51,r,,,,,20.75,,PTF60,1,,MJD,True
55526.478,r,,,,,20.68,,PTF60,1,,MJD,True
55527.452,r,,,,,21.23,,PTF60,1,,MJD,True
55529.458,r,,,,,20.87,,PTF60,1,,MJD,True
55531.441,r,,,,,20.69,,PTF60,1,,MJD,True
55532.445,r,,,,,21.02,,PTF60,1,,MJD,True
55535.441,r,,,,,20.88,,PTF60,1,,MJD,True
55538.442,r,,,,,21.65,,PTF60,1,,MJD,True
