time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55335.471,R,,,,,21.35,,P48,2,,MJD,True
55336.444,R,,,,,21.492,,P48,2,,MJD,True
55336.488,R,,,,,20.7287,,P48,2,,MJD,True
55342.422,R,,,,,20.152,,P48,2,,MJD,True
55342.465,R,,,,,21.05,,P48,2,,MJD,True
55348.280,R,,,,,21.580,,P48,2,,MJD,True
55348.330,R,,,,,21.53,,P48,2,,MJD,True
55353.286,R,,,,,21.783,,P48,2,,MJD,True
55353.358,R,,,,,21.762,,P48,2,,MJD,True
55358.339,R,,,,,21.701,,P48,2,,MJD,True
55363.340,R,,,,,21.87,,P48,2,,MJD,True
55363.388,R,,,,,21.593,,P48,2,,MJD,True
55368.380,R,,,,,21.452,,P48,2,,MJD,True
55368.424,R,,,,,21.063,,P48,2,,MJD,True
55374.233,R,,,,,20.858,,P48,2,,MJD,
55374.278,R,,,,,20.958,,P48,2,,MJD,
55379.301,R,,,,,20.236,,P48,2,,MJD,
55379.346,R,,,,,20.097,,P48,2,,MJD,
55384.298,R,,,,,20.039,,P48,2,,MJD,
55384.341,R,,,,,19.888,,P48,2,,MJD,
55390.305,R,,,,,20.097,,P48,2,,MJD,
55390.349,R,,,,,20.000,,P48,2,,MJD,
55396.206,R,,,,,20.490,,P48,2,,MJD,
55396.250,R,,,,,20.298,,P48,2,,MJD,
55401.273,R,,,,,20.760,,P48,2,,MJD,
55401.318,R,,,,,20.116,,P48,2,,MJD,
