time,band,bandset,e_fluxdensity,e_magnitude,fluxdensity,magnitude,system,telescope,source,u_fluxdensity,u_time,upperlimit
55338.445,R,,,,,20.8629,,P48,2,,MJD,True
55340.410,R,,,,,20.9886,,P48,2,,MJD,True
55340.454,R,,,,,20.9356,,P48,2,,MJD,True
55346.459,R,,,,,20.447,,P48,2,,MJD,True
55347.269,R,,,,,21.087,,P48,2,,MJD,True
55347.313,R,,,,,21.320,,P48,2,,MJD,True
55352.340,R,,,,,21.7379,,P48,2,,MJD,True
55357.402,R,,,,,21.1644,,P48,2,,MJD,True
55357.446,R,,,,,21.3176,,P48,2,,MJD,True
55362.425,R,,,,,21.519,,P48,2,,MJD,True
55362.474,R,,,,,20.841,,P48,2,,MJD,True
55363.189,R,,,,,21.0670,,P48,2,,MJD,True
55363.274,R,,,,,21.1388,,P48,2,,MJD,True
55363.330,R,,,,,21.094,,P48,2,,MJD,True
55363.391,R,,,,,21.3098,,P48,2,,MJD,True
55363.451,R,,,,,21.0747,,P48,2,,MJD,True
55368.406,R,,,,,21.135,,P48,2,,MJD,True
55368.450,R,,,,,21.0930,,P48,2,,MJD,True
55374.381,R,,,,,20.6244,,P48,2,,MJD,True
55374.425,R,,,,,20.358,,P48,2,,MJD,True
55385.293,R,,,,,18.3346,,P48,2,,MJD,
55385.346,R,,,,,18.3686,,P48,2,,MJD,
55390.408,R,,,,,17.9938,,P48,2,,MJD,
55390.455,R,,,,,17.9930,,P48,2,,MJD,
55396.408,R,,,,,18.2758,,P48,2,,MJD,
55401.309,R,,,,,18.6082,,P48,2,,MJD,
55401.352,R,,,,,18.5071,,P48,2,,MJD,
55434.170,R,,,,,18.09864,,P48,2,,MJD,True
55434.213,R,,,,,20.542,,P48,2,,MJD,
55453.219,R,,,,,21.198,,P48,2,,MJD,True
55453.263,R,,,,,21.241,,P48,2,,MJD,True
55460.169,R,,,,,20.632,,P48,2,,MJD,True
55460.215,R,,,,,20.498,,P48,2,,MJD,
55463.212,R,,,,,20.4544,,P48,2,,MJD,True
55463.256,R,,,,,20.4450,,P48,2,,MJD,True
